,Language,Word Entropy,hemisphere,subject,model,accuracy
102,Dutch,Low,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.0420410805219586e-05
103,Dutch,Low,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.492527588748421e-05
104,Dutch,Low,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00016402563067229788
105,Dutch,Low,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.868206304166217e-06
106,Dutch,Low,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.7018446094581953e-05
107,Dutch,Low,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.3282138455870008e-06
108,Dutch,Low,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.470165909196666e-05
109,Dutch,Low,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.198206529818987e-05
110,Dutch,Low,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.7000612977523283e-05
111,Dutch,Low,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.5583064381504635e-06
112,Dutch,Low,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.1165776527552452e-05
113,Dutch,Low,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.2040304309861896e-06
114,Dutch,Low,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.700037112976354e-05
115,Dutch,Low,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.464062961136755e-05
116,Dutch,Low,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.9078652546422165e-05
117,Dutch,Low,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.1474728912894616e-05
118,Dutch,Low,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.351663559896303e-06
119,Dutch,Low,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.978761304673378e-06
120,Dutch,Low,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.078513809753194e-05
121,Dutch,Low,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010094016278363693
122,Dutch,Low,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.149418661546267e-05
123,Dutch,Low,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.3212198795560436e-05
124,Dutch,Low,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00011868376172520228
125,Dutch,Low,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.0489146126794623e-05
126,Dutch,Low,Right,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001638385820847025
127,Dutch,Low,Left,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.4891085415869055e-06
128,Dutch,Low,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.26862987062244e-06
129,Dutch,Low,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.543817225174381e-05
130,Dutch,Low,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.864650525140029e-05
131,Dutch,Low,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.2153702643931776e-05
132,Dutch,Low,Right,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.9301946049289814e-05
133,Dutch,Low,Left,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.448061379439784e-05
134,Dutch,Low,Right,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.417701424388081e-05
135,Dutch,Low,Left,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.6658299040599637e-05
136,Dutch,Low,Right,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.958013248429326e-05
137,Dutch,Low,Left,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.074190488976798e-06
138,Dutch,Low,Right,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00020356435074216615
139,Dutch,Low,Left,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.839936876014195e-05
140,Dutch,Low,Right,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00012695552434794545
141,Dutch,Low,Left,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.1952858254709637e-05
142,Dutch,Low,Right,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.357960785538803e-06
143,Dutch,Low,Left,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.047618691797076e-05
144,Dutch,High,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.4842785014041822e-05
145,Dutch,High,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.192669661399446e-05
146,Dutch,High,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00013428376736042018
147,Dutch,High,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001277900812233364
148,Dutch,High,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00016917299210616216
149,Dutch,High,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.3349448561094796e-05
150,Dutch,High,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.4574432709600216e-05
151,Dutch,High,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-7.740834829397157e-06
152,Dutch,High,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001868311373458789
153,Dutch,High,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.783938280321794e-05
154,Dutch,High,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.9936692318560625e-05
155,Dutch,High,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.5372429247843704e-05
156,Dutch,High,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001975244232102019
157,Dutch,High,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00016067068845359553
158,Dutch,High,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.452596478911009e-05
159,Dutch,High,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.302944235434076e-05
160,Dutch,High,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.9793698720697466e-05
161,Dutch,High,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.665373355885194e-05
162,Dutch,High,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.4625143004993515e-06
163,Dutch,High,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.102378326490459e-06
164,Dutch,High,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.824662955208435e-05
165,Dutch,High,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.504368644753664e-05
166,Dutch,High,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.334057264383129e-05
167,Dutch,High,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.973254900353006e-05
168,Dutch,High,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001144646745909943
169,Dutch,High,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00022041632265715541
170,Dutch,High,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.345036506338807e-06
171,Dutch,High,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.8284708791351454e-06
172,Dutch,High,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00012780390658760112
173,Dutch,High,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.435383252334759e-05
