,Language,hemisphere,subject,model,accuracy
174,French,left,sub-013,acoustic+phonemes+surprisal+entropy,0.000624882441902709
175,French,right,sub-013,acoustic+phonemes+surprisal+entropy,0.0018343866386900246
176,French,left,sub-026,acoustic+phonemes+surprisal+entropy,0.0021807680965585086
177,French,right,sub-026,acoustic+phonemes+surprisal+entropy,0.002445374095228616
178,French,left,sub-017,acoustic+phonemes+surprisal+entropy,0.0021096246762371353
179,French,right,sub-017,acoustic+phonemes+surprisal+entropy,0.0056114484731207585
180,French,left,sub-027,acoustic+phonemes+surprisal+entropy,0.0008342902812141587
181,French,right,sub-027,acoustic+phonemes+surprisal+entropy,0.0009774976725344764
182,French,left,sub-032,acoustic+phonemes+surprisal+entropy,0.0021810127477308546
183,French,right,sub-032,acoustic+phonemes+surprisal+entropy,0.0034639040952397218
184,French,left,sub-011,acoustic+phonemes+surprisal+entropy,0.0017906455919698939
185,French,right,sub-011,acoustic+phonemes+surprisal+entropy,0.0016359565874202767
186,French,left,sub-025,acoustic+phonemes+surprisal+entropy,0.005842456724174233
187,French,right,sub-025,acoustic+phonemes+surprisal+entropy,0.003484657928370607
188,French,left,sub-028,acoustic+phonemes+surprisal+entropy,0.0013466992741450968
189,French,right,sub-028,acoustic+phonemes+surprisal+entropy,0.0017967534492010651
190,French,left,sub-023,acoustic+phonemes+surprisal+entropy,0.0022263907709586792
191,French,right,sub-023,acoustic+phonemes+surprisal+entropy,0.0013386572750532107
192,French,left,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.0021997818328710617
193,French,right,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.0023554641774134596
194,French,left,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.0015820252485223643
195,French,right,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.002288211619558997
196,French,left,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0010558639188867815
197,French,right,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0011403883690525758
198,French,left,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.004004652771096541
199,French,right,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.004150654959876475
200,French,left,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.002051210718242661
201,French,right,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.0016036772150565316
202,French,left,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.0019636717334491223
203,French,right,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.002005761991996327
204,French,left,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0013704368077061704
205,French,right,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0004288203636001247
206,French,left,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0008683615517472072
207,French,right,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0006173649110546078
208,French,left,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0011832638539235872
209,French,right,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0009436807234326601
210,French,left,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.001943903108368843
211,French,right,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.0022006705360518
212,French,left,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.0016434835597855923
213,French,right,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.0017012342475263825
214,French,left,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.0022177338357524798
215,French,right,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.002095312975972264
216,French,left,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.001503177526734979
217,French,right,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.004138681953928222
218,French,left,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.002502873627225813
219,French,right,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.004213548146813591
220,French,left,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0015014829109256883
221,French,right,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0020714978086855173
222,French,left,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.0006184945852088253
223,French,right,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.0018257964393219228
224,French,left,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.00216693187285956
225,French,right,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.0024246041927505585
226,French,left,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.0021071997311476512
227,French,right,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.005632505188120285
228,French,left,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0008348570014631376
229,French,right,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0009696777128598641
230,French,left,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.002169850853523791
231,French,right,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.003426208486941927
232,French,left,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.001792850785852535
233,French,right,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.0016303137818051963
234,French,left,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.0058356122554730295
235,French,right,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.0034644714649606084
236,French,left,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.0013247195473892115
237,French,right,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.0017761294067268395
238,French,left,sub-023,acoustic+phonemes+surprisal+entropy+freq,0.0022030628211187455
239,French,right,sub-023,acoustic+phonemes+surprisal+entropy+freq,0.0013111251011358343
240,Dutch,left,sub-009,acoustic,0.0018701035408848514
241,Dutch,right,sub-009,acoustic,0.0034700314136303996
242,Dutch,left,sub-011,acoustic,0.003117780233572356
243,Dutch,right,sub-011,acoustic,0.0028548213814967452
244,Dutch,left,sub-017,acoustic,0.002594310688714203
245,Dutch,right,sub-017,acoustic,0.007950498242742476
246,Dutch,left,sub-023,acoustic,0.0026500693634382575
247,Dutch,right,sub-023,acoustic,0.0017625612757450392
248,Dutch,left,sub-018,acoustic,0.0019129662704974555
249,Dutch,right,sub-018,acoustic,0.002045820194098895
250,Dutch,left,sub-029,acoustic,0.004369225435726241
251,Dutch,right,sub-029,acoustic,0.0022697959215960605
252,Dutch,left,sub-025,acoustic,0.0025016916203987613
253,Dutch,right,sub-025,acoustic,0.0030169663996137764
254,Dutch,left,sub-033,acoustic,0.002643302722877835
255,Dutch,right,sub-033,acoustic,0.002815757658845312
256,Dutch,left,sub-001,acoustic,0.0022718215079023346
257,Dutch,right,sub-001,acoustic,0.00220830300987024
258,Dutch,left,sub-010,acoustic,0.0020930497095750563
259,Dutch,right,sub-010,acoustic,0.003316749859076977
260,Dutch,left,sub-015,acoustic,0.002482173941585314
261,Dutch,right,sub-015,acoustic,0.002008560751827388
262,Dutch,left,sub-019,acoustic,0.002434995120499169
263,Dutch,right,sub-019,acoustic,0.0026395788339036506
264,Dutch,left,sub-004,acoustic,0.002977110464162861
265,Dutch,right,sub-004,acoustic,0.0030089575501983895
266,Dutch,left,sub-028,acoustic,0.00197608904098832
267,Dutch,right,sub-028,acoustic,0.002495097654360967
268,Dutch,left,sub-013,acoustic,0.0008914576610015696
269,Dutch,right,sub-013,acoustic,0.0022712080657556226
270,Dutch,left,sub-020,acoustic,0.00119412161870954
271,Dutch,right,sub-020,acoustic,0.0008058337028962955
272,Dutch,left,sub-003,acoustic,0.002055899578017107
273,Dutch,right,sub-003,acoustic,0.0011764571598656978
274,Dutch,left,sub-026,acoustic,0.0025541091365447475
275,Dutch,right,sub-026,acoustic,0.0033705298193097443
276,Dutch,left,sub-030,acoustic,0.002826518157914156
277,Dutch,right,sub-030,acoustic,0.004147101552838164
278,Dutch,left,sub-008,acoustic,0.001636587305720065
279,Dutch,right,sub-008,acoustic,0.005070174756983793
280,Dutch,left,sub-014,acoustic,0.005843283017017497
281,Dutch,right,sub-014,acoustic,0.006611290640402731
282,Dutch,left,sub-027,acoustic,0.002457728646022245
283,Dutch,right,sub-027,acoustic,0.0019082330968350383
284,Dutch,left,sub-032,acoustic,0.001928243233325435
285,Dutch,right,sub-032,acoustic,0.00545585973373147
286,Dutch,left,sub-021,acoustic,0.003853889306862655
287,Dutch,right,sub-021,acoustic,0.003345460387811094
288,Dutch,left,sub-009,acoustic+phonemes,0.001925932836892496
289,Dutch,right,sub-009,acoustic+phonemes,0.0035346490757757953
290,Dutch,left,sub-011,acoustic+phonemes,0.0031800586245145706
291,Dutch,right,sub-011,acoustic+phonemes,0.002917483608630224
292,Dutch,left,sub-017,acoustic+phonemes,0.0026600896514845864
293,Dutch,right,sub-017,acoustic+phonemes,0.008175452099622548
294,Dutch,left,sub-023,acoustic+phonemes,0.0026729566796447083
295,Dutch,right,sub-023,acoustic+phonemes,0.0017867053732348818
296,Dutch,left,sub-018,acoustic+phonemes,0.001955355028500978
297,Dutch,right,sub-018,acoustic+phonemes,0.002097580876849218
298,Dutch,left,sub-029,acoustic+phonemes,0.004472684264158789
299,Dutch,right,sub-029,acoustic+phonemes,0.0023131567250071587
300,Dutch,left,sub-025,acoustic+phonemes,0.002679491175166127
301,Dutch,right,sub-025,acoustic+phonemes,0.0030558202490697994
302,Dutch,left,sub-033,acoustic+phonemes,0.002667646031797857
303,Dutch,right,sub-033,acoustic+phonemes,0.002859704492316257
304,Dutch,left,sub-001,acoustic+phonemes,0.002318070195015088
305,Dutch,right,sub-001,acoustic+phonemes,0.0022634231953459682
306,Dutch,left,sub-010,acoustic+phonemes,0.0021290529909124057
307,Dutch,right,sub-010,acoustic+phonemes,0.0033330082775093455
308,Dutch,left,sub-015,acoustic+phonemes,0.002530898881130069
309,Dutch,right,sub-015,acoustic+phonemes,0.0020390141162692707
310,Dutch,left,sub-019,acoustic+phonemes,0.0024896441504521256
311,Dutch,right,sub-019,acoustic+phonemes,0.0027101147838373466
312,Dutch,left,sub-004,acoustic+phonemes,0.003044503672324823
313,Dutch,right,sub-004,acoustic+phonemes,0.003069117361954003
314,Dutch,left,sub-028,acoustic+phonemes,0.001986063632329865
315,Dutch,right,sub-028,acoustic+phonemes,0.002524964208950471
316,Dutch,left,sub-013,acoustic+phonemes,0.0009013895186379338
317,Dutch,right,sub-013,acoustic+phonemes,0.0022871909772561845
318,Dutch,left,sub-020,acoustic+phonemes,0.0012324501331645833
319,Dutch,right,sub-020,acoustic+phonemes,0.000834372112282554
320,Dutch,left,sub-003,acoustic+phonemes,0.0020818192362723337
321,Dutch,right,sub-003,acoustic+phonemes,0.0012139088753312498
322,Dutch,left,sub-026,acoustic+phonemes,0.0025890968376647817
323,Dutch,right,sub-026,acoustic+phonemes,0.0033805595880683726
324,Dutch,left,sub-030,acoustic+phonemes,0.0028793337277725948
325,Dutch,right,sub-030,acoustic+phonemes,0.004192882454697046
326,Dutch,left,sub-008,acoustic+phonemes,0.001677116640102955
327,Dutch,right,sub-008,acoustic+phonemes,0.00513994837772022
328,Dutch,left,sub-014,acoustic+phonemes,0.00593932092551843
329,Dutch,right,sub-014,acoustic+phonemes,0.006758292540124219
330,Dutch,left,sub-027,acoustic+phonemes,0.0025074873018994495
331,Dutch,right,sub-027,acoustic+phonemes,0.0019570165194057903
332,Dutch,left,sub-032,acoustic+phonemes,0.002003395980730985
333,Dutch,right,sub-032,acoustic+phonemes,0.00554268021554733
334,Dutch,left,sub-021,acoustic+phonemes,0.003902902003428987
335,Dutch,right,sub-021,acoustic+phonemes,0.0033887143664285773
336,Dutch,left,sub-009,acoustic+phonemes+surprisal,0.0019326988233180258
337,Dutch,right,sub-009,acoustic+phonemes+surprisal,0.00356213617644303
338,Dutch,left,sub-011,acoustic+phonemes+surprisal,0.0032194991205806243
339,Dutch,right,sub-011,acoustic+phonemes+surprisal,0.0029425646828939917
340,Dutch,left,sub-017,acoustic+phonemes+surprisal,0.0027022572037307857
341,Dutch,right,sub-017,acoustic+phonemes+surprisal,0.008268557888595145
342,Dutch,left,sub-023,acoustic+phonemes+surprisal,0.002683694532460812
343,Dutch,right,sub-023,acoustic+phonemes+surprisal,0.001791332635765561
344,Dutch,left,sub-018,acoustic+phonemes+surprisal,0.001991778477082408
345,Dutch,right,sub-018,acoustic+phonemes+surprisal,0.0021264685295518775
346,Dutch,left,sub-029,acoustic+phonemes+surprisal,0.004539692846401478
347,Dutch,right,sub-029,acoustic+phonemes+surprisal,0.002333903038964676
348,Dutch,left,sub-025,acoustic+phonemes+surprisal,0.0027247978473128234
349,Dutch,right,sub-025,acoustic+phonemes+surprisal,0.003064698850376956
350,Dutch,left,sub-033,acoustic+phonemes+surprisal,0.002684445329794679
351,Dutch,right,sub-033,acoustic+phonemes+surprisal,0.002872780846681333
352,Dutch,left,sub-001,acoustic+phonemes+surprisal,0.0023395227790906758
353,Dutch,right,sub-001,acoustic+phonemes+surprisal,0.0022851425337040896
354,Dutch,left,sub-010,acoustic+phonemes+surprisal,0.0021508260160529157
355,Dutch,right,sub-010,acoustic+phonemes+surprisal,0.0033487062381135167
356,Dutch,left,sub-015,acoustic+phonemes+surprisal,0.0025644636171376503
357,Dutch,right,sub-015,acoustic+phonemes+surprisal,0.0020575243739932155
358,Dutch,left,sub-019,acoustic+phonemes+surprisal,0.002507150658070028
359,Dutch,right,sub-019,acoustic+phonemes+surprisal,0.002743149894602904
360,Dutch,left,sub-004,acoustic+phonemes+surprisal,0.0030751309828598674
361,Dutch,right,sub-004,acoustic+phonemes+surprisal,0.0030788714300762363
362,Dutch,left,sub-028,acoustic+phonemes+surprisal,0.0019862038508870524
363,Dutch,right,sub-028,acoustic+phonemes+surprisal,0.0025290604932698977
364,Dutch,left,sub-013,acoustic+phonemes+surprisal,0.0009049696951110019
365,Dutch,right,sub-013,acoustic+phonemes+surprisal,0.002290082375865991
366,Dutch,left,sub-020,acoustic+phonemes+surprisal,0.0012540909623070925
367,Dutch,right,sub-020,acoustic+phonemes+surprisal,0.000845258019263726
368,Dutch,left,sub-003,acoustic+phonemes+surprisal,0.0020960219221450955
369,Dutch,right,sub-003,acoustic+phonemes+surprisal,0.0012279366331268643
370,Dutch,left,sub-026,acoustic+phonemes+surprisal,0.0026052405772467044
371,Dutch,right,sub-026,acoustic+phonemes+surprisal,0.0033815675489127376
372,Dutch,left,sub-030,acoustic+phonemes+surprisal,0.0029062983426451695
373,Dutch,right,sub-030,acoustic+phonemes+surprisal,0.004209552914500366
374,Dutch,left,sub-008,acoustic+phonemes+surprisal,0.0017035994187806333
375,Dutch,right,sub-008,acoustic+phonemes+surprisal,0.005164379577682119
376,Dutch,left,sub-014,acoustic+phonemes+surprisal,0.005984540086827011
377,Dutch,right,sub-014,acoustic+phonemes+surprisal,0.006799847756325613
378,Dutch,left,sub-027,acoustic+phonemes+surprisal,0.0025336907421957527
379,Dutch,right,sub-027,acoustic+phonemes+surprisal,0.001968916057742726
380,Dutch,left,sub-032,acoustic+phonemes+surprisal,0.002064251534161707
381,Dutch,right,sub-032,acoustic+phonemes+surprisal,0.005583961579559814
382,Dutch,left,sub-021,acoustic+phonemes+surprisal,0.003924714500972995
383,Dutch,right,sub-021,acoustic+phonemes+surprisal,0.0033960191207393076
384,Dutch,left,sub-009,acoustic+phonemes+surprisal+entropy,0.0019635201011848936
385,Dutch,right,sub-009,acoustic+phonemes+surprisal+entropy,0.0036169140850534054
386,Dutch,left,sub-011,acoustic+phonemes+surprisal+entropy,0.003360362123663011
387,Dutch,right,sub-011,acoustic+phonemes+surprisal+entropy,0.0029680486985170663
388,Dutch,left,sub-017,acoustic+phonemes+surprisal+entropy,0.0028464165924213473
389,Dutch,right,sub-017,acoustic+phonemes+surprisal+entropy,0.008654488490065084
390,Dutch,left,sub-023,acoustic+phonemes+surprisal+entropy,0.0026933187398995306
391,Dutch,right,sub-023,acoustic+phonemes+surprisal+entropy,0.001808281721698076
392,Dutch,left,sub-018,acoustic+phonemes+surprisal+entropy,0.0020308952307834006
393,Dutch,right,sub-018,acoustic+phonemes+surprisal+entropy,0.002130525578248406
394,Dutch,left,sub-029,acoustic+phonemes+surprisal+entropy,0.004646043577334256
395,Dutch,right,sub-029,acoustic+phonemes+surprisal+entropy,0.0023591430038774125
396,Dutch,left,sub-025,acoustic+phonemes+surprisal+entropy,0.0028447392458006366
397,Dutch,right,sub-025,acoustic+phonemes+surprisal+entropy,0.003091735928502758
398,Dutch,left,sub-033,acoustic+phonemes+surprisal+entropy,0.0027047351302016986
399,Dutch,right,sub-033,acoustic+phonemes+surprisal+entropy,0.002889286697605629
400,Dutch,left,sub-001,acoustic+phonemes+surprisal+entropy,0.00238107448195707
