,Language,Word Entropy,hemisphere,subject,model,accuracy
132,Dutch,Low,Right,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.523682391202841e-05
133,Dutch,Low,Left,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.18253277604556e-05
134,Dutch,Low,Right,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.8706248930019294e-05
135,Dutch,Low,Left,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.9497086324925364e-06
136,Dutch,Low,Right,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.078218618095789e-05
137,Dutch,Low,Left,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.4175882458524052e-05
138,Dutch,Low,Right,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.1751748686516876e-05
139,Dutch,Low,Left,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.1864949165277996e-05
140,Dutch,Low,Right,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.68319670455735e-06
141,Dutch,Low,Left,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.4261120431576307e-05
142,Dutch,Low,Right,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.0737820324276217e-05
143,Dutch,Low,Left,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.124772359444146e-05
144,Dutch,High,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.9102878247005395e-05
145,Dutch,High,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.619528450797322e-05
146,Dutch,High,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.902741440671859e-05
147,Dutch,High,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.20844650035326e-05
148,Dutch,High,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001236036872975908
149,Dutch,High,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.869370007588855e-05
150,Dutch,High,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.874509176538254e-05
151,Dutch,High,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.885041099567843e-05
152,Dutch,High,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.8168397410091783e-05
153,Dutch,High,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.596087649022371e-05
154,Dutch,High,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.9477853487139605e-05
155,Dutch,High,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00024270233561932825
156,Dutch,High,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001881198185074598
157,Dutch,High,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00016565061994705155
158,Dutch,High,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.543514384702315e-05
159,Dutch,High,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.824010642994143e-05
160,Dutch,High,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010265840113439858
