,Language,subject,model,accuracy
200,Dutch,sub-019,acoustic+phonemes+surprisal+entropy,0.001925674340741175
201,Dutch,sub-020,acoustic+phonemes+surprisal+entropy,0.0007462927033881888
202,Dutch,sub-021,acoustic+phonemes+surprisal+entropy,0.0020175389765654805
203,Dutch,sub-023,acoustic+phonemes+surprisal+entropy,0.0019213669283534229
204,Dutch,sub-025,acoustic+phonemes+surprisal+entropy,0.00342777588982531
205,Dutch,sub-027,acoustic+phonemes+surprisal+entropy,0.001713294292814267
206,Dutch,sub-028,acoustic+phonemes+surprisal+entropy,0.0015482593407903302
207,Dutch,sub-017,acoustic+phonemes+surprisal+entropy,0.004171935847475276
208,Dutch,sub-001,acoustic+phonemes+surprisal+entropy,0.0018776162022142253
209,Dutch,sub-026,acoustic+phonemes+surprisal+entropy,0.0017789681955491863
210,Dutch,sub-029,acoustic+phonemes+surprisal+entropy,0.0024045938703627628
211,Dutch,sub-033,acoustic+phonemes+surprisal+entropy,0.002211718992874206
212,Dutch,sub-030,acoustic+phonemes+surprisal+entropy,0.0027691317482708964
213,Dutch,sub-032,acoustic+phonemes+surprisal+entropy,0.0029219406202156614
214,Dutch,sub-013,acoustic+phonemes+surprisal+entropy,0.0018403957724161066
215,Dutch,sub-015,acoustic+phonemes+surprisal+entropy,0.0007697477495301488
216,Dutch,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0012259708472618946
217,Dutch,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.0022256838006553857
218,Dutch,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.0026229521477976947
219,Dutch,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.001949748448376592
220,Dutch,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0022370945038853477
221,Dutch,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.0027884702115618812
222,Dutch,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.004562621417503436
223,Dutch,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0014062999986816649
224,Dutch,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.002002278694440758
225,Dutch,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0007422208630215411
226,Dutch,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.0020398194430958387
227,Dutch,sub-023,acoustic+phonemes+surprisal+entropy+freq,0.0019891778553914026
228,Dutch,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.0034822712470470108
229,Dutch,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0017682976370818001
230,Dutch,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.0015619600915411777
231,Dutch,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.004265674177153148
232,Dutch,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.0019316400780560522
233,Dutch,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.0018048918624052586
234,Dutch,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.0024819026496977516
235,Dutch,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.0022157299567994674
236,Dutch,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.002831173376021563
237,Dutch,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.0029766097717046974
238,Dutch,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.0018804465833582827
239,Dutch,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0008105712736977931
