phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
@;191.67;191.71;alles;191.55;191.79;0.063603582;1.319066334;1708.415;8.299065;585;-1;10.73844275
s;191.71;191.79;alles;191.55;191.79;0.026352213;0.617537739;1708.415;8.299065;585;-1;10.73844275
s;191.79;191.92;sliep;191.79;192.24;4.483571099;5.246233842;26.481;9.090973;586;1;4.726885698
l;191.92;191.96;sliep;191.79;192.24;0.185596842;3.196687073;26.481;9.090973;586;1;4.726885698
i;191.96;192.03;sliep;191.79;192.24;0.02727791;6.073876993;26.481;9.090973;586;1;4.726885698
j;192.03;192.15;sliep;191.79;192.24;0.001292153;6.154226736;26.481;9.090973;586;1;4.726885698
@;192.15;192.24;sliep;191.79;192.24;0.000798962;5.285402219;26.481;9.090973;586;1;4.726885698
E;192.29;192.37;en;192.29;192.42;4.483571099;4.869410293;13987.4934;9.631546;587;1;13.77184983
n;192.37;192.42;en;192.29;192.42;0.080619888;6.706842395;13987.4934;9.631546;587;1;13.77184983
d;192.42;192.45;de;192.42;192.45;4.483571099;3.345837716;24266.8883;10.08405;588;1;14.56670151
s;192.45;192.53;schoone;192.45;192.8;4.483571099;5.246233842;1.03E-06;8.882174;589;1;9.5269
x;192.53;192.62;schoone;192.45;192.8;0.185596842;2.50712199;1.03E-06;8.882174;589;1;9.5269
o:;192.62;192.74;schoone;192.45;192.8;0.043355018;2.686480035;1.03E-06;8.882174;589;1;9.5269
n;192.74;192.77;schoone;192.45;192.8;0.007968755;2.045768406;1.03E-06;8.882174;589;1;9.5269
@;192.77;192.8;schoone;192.45;192.8;0.002268163;5.37620919;1.03E-06;8.882174;589;1;9.5269
j;192.8;192.88;jonkvrouw;192.8;193.38;4.483571099;4.145022998;1.7837;8.161222;590;-1;0.834872989
O;192.88;192.92;jonkvrouw;192.8;193.38;0.101265576;3.562992124;1.7837;8.161222;590;-1;0.834872989
N;192.92;193.01;jonkvrouw;192.8;193.38;0.010993629;0.298402348;1.7837;8.161222;590;-1;0.834872989
k;193.01;193.06;jonkvrouw;192.8;193.38;0.008090912;6.935897197;1.7837;8.161222;590;-1;0.834872989
f;193.06;193.14;jonkvrouw;192.8;193.38;0.000880826;3.852237223;1.7837;8.161222;590;-1;0.834872989
r;193.14;193.17;jonkvrouw;192.8;193.38;0.00083525;3.767119291;1.7837;8.161222;590;-1;0.834872989
Au;193.17;193.38;jonkvrouw;192.8;193.38;0.00083525;3.767119291;1.7837;8.161222;590;-1;0.834872989
@;193.38;193.43;het;193.38;193.46;4.483571099;5.103190997;24431.9717;9.415074;591;1;14.57648268
t;193.43;193.46;het;193.38;193.46;0.004261526;4.887419422;24431.9717;9.415074;591;1;14.57648268
b;193.46;193.49;badvertrek;193.46;194.01;4.483571099;4.642635154;1.03E-06;8.42097;592;1;9.5269
