,Language,Word Entropy,hemisphere,model,time,subject,accuracy
115,French,Low,Left,Phoneme_onset,0,sub-028,-2.5409432881102426e-06
116,French,Low,Right,Surprisal,0,sub-028,-1.6559866509888421e-06
117,French,Low,Left,Surprisal,0,sub-028,-3.871754707703019e-06
118,French,Low,Right,Entropy,0,sub-028,-8.946868983194166e-06
119,French,Low,Left,Entropy,0,sub-028,-7.0825150386224465e-06
120,French,Low,Right,Phoneme_onset,0,sub-029,-5.402892369736716e-07
121,French,Low,Left,Phoneme_onset,0,sub-029,-1.0180485880888314e-06
122,French,Low,Right,Surprisal,0,sub-029,-2.034994537176281e-06
123,French,Low,Left,Surprisal,0,sub-029,-4.309991773093391e-06
124,French,Low,Right,Entropy,0,sub-029,-5.536847986746783e-06
125,French,Low,Left,Entropy,0,sub-029,-6.811928764792377e-06
126,French,Low,Right,Phoneme_onset,0,sub-030,-3.4497538636678334e-06
127,French,Low,Left,Phoneme_onset,0,sub-030,-8.536155812984063e-07
128,French,Low,Right,Surprisal,0,sub-030,-1.8298447650939185e-06
129,French,Low,Left,Surprisal,0,sub-030,-1.000904945854476e-06
130,French,Low,Right,Entropy,0,sub-030,-6.953480711271875e-06
131,French,Low,Left,Entropy,0,sub-030,-4.490000073589465e-06
132,French,Low,Right,Phoneme_onset,0,sub-032,3.089106035851207e-06
133,French,Low,Left,Phoneme_onset,0,sub-032,2.8388118040119418e-06
134,French,Low,Right,Surprisal,0,sub-032,-2.2103562117270157e-06
135,French,Low,Left,Surprisal,0,sub-032,-3.9267149135400105e-07
136,French,Low,Right,Entropy,0,sub-032,-5.2144055280058565e-06
137,French,Low,Left,Entropy,0,sub-032,-6.129026549924714e-06
138,French,Low,Right,Phoneme_onset,0,sub-033,-3.434891101459964e-06
139,French,Low,Left,Phoneme_onset,0,sub-033,2.8406286641064493e-06
140,French,Low,Right,Surprisal,0,sub-033,-1.119248324664467e-06
141,French,Low,Left,Surprisal,0,sub-033,-1.4142413078933468e-06
142,French,Low,Right,Entropy,0,sub-033,-7.49291660422482e-06
143,French,Low,Left,Entropy,0,sub-033,-6.0755709669528645e-06
144,French,High,Right,Phoneme_onset,0,sub-001,-7.948660636978535e-07
145,French,High,Left,Phoneme_onset,0,sub-001,1.5076736143457674e-07
146,French,High,Right,Surprisal,0,sub-001,-2.0054877705942487e-06
147,French,High,Left,Surprisal,0,sub-001,-2.697928050876188e-06
148,French,High,Right,Entropy,0,sub-001,-3.815138185552274e-06
149,French,High,Left,Entropy,0,sub-001,-3.1031592286403617e-06
150,French,High,Right,Phoneme_onset,0,sub-003,-8.602513430006705e-07
151,French,High,Left,Phoneme_onset,0,sub-003,-6.658225331664352e-07
152,French,High,Right,Surprisal,0,sub-003,-3.03338250982416e-06
153,French,High,Left,Surprisal,0,sub-003,-4.652029130519402e-06
154,French,High,Right,Entropy,0,sub-003,-1.042520308504478e-05
155,French,High,Left,Entropy,0,sub-003,-6.110810994499783e-06
156,French,High,Right,Phoneme_onset,0,sub-004,-4.255053364085866e-06
157,French,High,Left,Phoneme_onset,0,sub-004,-5.240812852356042e-07
158,French,High,Right,Surprisal,0,sub-004,-2.978284296505334e-06
159,French,High,Left,Surprisal,0,sub-004,9.084964431802145e-08
160,French,High,Right,Entropy,0,sub-004,-7.121943302345793e-06
161,French,High,Left,Entropy,0,sub-004,-5.927522969972976e-06
162,French,High,Right,Phoneme_onset,0,sub-008,-2.6209215609808007e-06
163,French,High,Left,Phoneme_onset,0,sub-008,-2.135160406974189e-06
164,French,High,Right,Surprisal,0,sub-008,-2.5092578545919884e-06
165,French,High,Left,Surprisal,0,sub-008,-3.514031425995395e-06
166,French,High,Right,Entropy,0,sub-008,-6.329929501877768e-06
167,French,High,Left,Entropy,0,sub-008,-5.042513704820094e-06
168,French,High,Right,Phoneme_onset,0,sub-009,-2.939467565435872e-06
169,French,High,Left,Phoneme_onset,0,sub-009,-2.1659821156839043e-06
170,French,High,Right,Surprisal,0,sub-009,-4.182861550084349e-06
171,French,High,Left,Surprisal,0,sub-009,-1.989453772186283e-06
172,French,High,Right,Entropy,0,sub-009,-2.317833690562235e-06
173,French,High,Left,Entropy,0,sub-009,-1.9366332550010514e-06
174,French,High,Right,Phoneme_onset,0,sub-010,-1.9042133966270733e-06
175,French,High,Left,Phoneme_onset,0,sub-010,-9.407636230050199e-07
176,French,High,Right,Surprisal,0,sub-010,-2.6215835819415424e-06
177,French,High,Left,Surprisal,0,sub-010,-1.8363227023678328e-06
178,French,High,Right,Entropy,0,sub-010,-6.541820311939151e-06
179,French,High,Left,Entropy,0,sub-010,-4.340585579603341e-06
180,French,High,Right,Phoneme_onset,0,sub-011,-1.8276344391962653e-06
181,French,High,Left,Phoneme_onset,0,sub-011,-2.927230828879868e-06
182,French,High,Right,Surprisal,0,sub-011,-4.520510793831288e-06
183,French,High,Left,Surprisal,0,sub-011,-6.2623624850690905e-06
184,French,High,Right,Entropy,0,sub-011,-5.053369530273722e-06
185,French,High,Left,Entropy,0,sub-011,-6.667815993054476e-06
186,French,High,Right,Phoneme_onset,0,sub-013,-1.3536299535499357e-06
187,French,High,Left,Phoneme_onset,0,sub-013,-1.8172280396670382e-07
188,French,High,Right,Surprisal,0,sub-013,-1.8151073369336147e-06
189,French,High,Left,Surprisal,0,sub-013,-2.0735952719053437e-07
190,French,High,Right,Entropy,0,sub-013,-3.5292251167300895e-06
191,French,High,Left,Entropy,0,sub-013,-1.6693871436119145e-06
192,French,High,Right,Phoneme_onset,0,sub-014,2.4463585590940713e-07
