,Language,subject,model,accuracy
124,Dutch,sub-018,acoustic,0.0017986597749133951
125,Dutch,sub-029,acoustic,0.00305970739787073
126,Dutch,sub-025,acoustic,0.003960714858521933
127,Dutch,sub-033,acoustic,0.0028571278109185117
128,Dutch,sub-001,acoustic,0.0023307438988945483
129,Dutch,sub-010,acoustic,0.002286721972528125
130,Dutch,sub-015,acoustic,0.002301269166440006
131,Dutch,sub-019,acoustic,0.0026208137636006597
132,Dutch,sub-004,acoustic,0.00333613802657868
133,Dutch,sub-028,acoustic,0.0022326144089629338
134,Dutch,sub-013,acoustic,0.0011761992969578697
135,Dutch,sub-020,acoustic,0.0010660145501449998
136,Dutch,sub-003,acoustic,0.0016702996291845915
137,Dutch,sub-026,acoustic,0.0028079054737286564
138,Dutch,sub-030,acoustic,0.0036681581931917945
139,Dutch,sub-008,acoustic,0.0030004468166056567
140,Dutch,sub-014,acoustic,0.006703066795857654
141,Dutch,sub-027,acoustic,0.002086753436731301
142,Dutch,sub-032,acoustic,0.004061476020149803
143,Dutch,sub-021,acoustic,0.003421615949370999
144,Dutch,sub-009,acoustic+phonemes,0.0025698389066956297
145,Dutch,sub-011,acoustic+phonemes,0.0031798605127124424
146,Dutch,sub-017,acoustic+phonemes,0.005833156505252925
147,Dutch,sub-023,acoustic+phonemes,0.002283472569907871
148,Dutch,sub-018,acoustic+phonemes,0.0018362965943161023
149,Dutch,sub-029,acoustic+phonemes,0.0031349407044362287
150,Dutch,sub-025,acoustic+phonemes,0.0040802814333031085
151,Dutch,sub-033,acoustic+phonemes,0.002896993772069883
152,Dutch,sub-001,acoustic+phonemes,0.00237450279311059
153,Dutch,sub-010,acoustic+phonemes,0.0023032410674131538
154,Dutch,sub-015,acoustic+phonemes,0.002332355596973118
155,Dutch,sub-019,acoustic+phonemes,0.0026817425482772903
156,Dutch,sub-004,acoustic+phonemes,0.0034138187278326204
157,Dutch,sub-028,acoustic+phonemes,0.002244630252833957
158,Dutch,sub-013,acoustic+phonemes,0.001182364280923769
159,Dutch,sub-020,acoustic+phonemes,0.0010938548571014918
160,Dutch,sub-003,acoustic+phonemes,0.0017045660143732357
161,Dutch,sub-026,acoustic+phonemes,0.002843668927012369
162,Dutch,sub-030,acoustic+phonemes,0.0037348346461010535
163,Dutch,sub-008,acoustic+phonemes,0.0030721021762615936
164,Dutch,sub-014,acoustic+phonemes,0.006816562200613966
165,Dutch,sub-027,acoustic+phonemes,0.0021369008162029097
166,Dutch,sub-032,acoustic+phonemes,0.0041369495296116
167,Dutch,sub-021,acoustic+phonemes,0.0034806517094031425
168,Dutch,sub-009,acoustic+phonemes+surprisal,0.0025977543613152896
169,Dutch,sub-011,acoustic+phonemes+surprisal,0.0032203934833849976
170,Dutch,sub-017,acoustic+phonemes+surprisal,0.005919587931711155
171,Dutch,sub-023,acoustic+phonemes+surprisal,0.0022822347364276937
172,Dutch,sub-018,acoustic+phonemes+surprisal,0.0018680416522073094
173,Dutch,sub-029,acoustic+phonemes+surprisal,0.003179754956768809
174,Dutch,sub-025,acoustic+phonemes+surprisal,0.004125018582121452
175,Dutch,sub-033,acoustic+phonemes+surprisal,0.0029100215367442025
176,Dutch,sub-001,acoustic+phonemes+surprisal,0.0023934060360223564
177,Dutch,sub-010,acoustic+phonemes+surprisal,0.0023069675845329126
178,Dutch,sub-015,acoustic+phonemes+surprisal,0.0023507661595457184
179,Dutch,sub-019,acoustic+phonemes+surprisal,0.0026979565162486823
180,Dutch,sub-004,acoustic+phonemes+surprisal,0.003428883483019948
181,Dutch,sub-028,acoustic+phonemes+surprisal,0.002241932523401825
182,Dutch,sub-013,acoustic+phonemes+surprisal,0.001185262768582199
183,Dutch,sub-020,acoustic+phonemes+surprisal,0.001100895006719065
184,Dutch,sub-003,acoustic+phonemes+surprisal,0.0017273226277480648
185,Dutch,sub-026,acoustic+phonemes+surprisal,0.0028456462717519632
186,Dutch,sub-030,acoustic+phonemes+surprisal,0.0037602707767937582
187,Dutch,sub-008,acoustic+phonemes+surprisal,0.0030988356875897224
188,Dutch,sub-014,acoustic+phonemes+surprisal,0.006867895380813554
189,Dutch,sub-027,acoustic+phonemes+surprisal,0.0021724539632975164
190,Dutch,sub-032,acoustic+phonemes+surprisal,0.00417939177380532
191,Dutch,sub-021,acoustic+phonemes+surprisal,0.003514924042981005
192,Dutch,sub-009,acoustic+phonemes+surprisal+entropy,0.002625831270674179
193,Dutch,sub-011,acoustic+phonemes+surprisal+entropy,0.0033036808573516136
194,Dutch,sub-017,acoustic+phonemes+surprisal+entropy,0.006132949483773949
195,Dutch,sub-023,acoustic+phonemes+surprisal+entropy,0.002286013732476725
196,Dutch,sub-018,acoustic+phonemes+surprisal+entropy,0.0018685398450022333
197,Dutch,sub-029,acoustic+phonemes+surprisal+entropy,0.0032226365432684607
198,Dutch,sub-025,acoustic+phonemes+surprisal+entropy,0.0042231272837463425
199,Dutch,sub-033,acoustic+phonemes+surprisal+entropy,0.002931809927430698
200,Dutch,sub-001,acoustic+phonemes+surprisal+entropy,0.002403341376045151
201,Dutch,sub-010,acoustic+phonemes+surprisal+entropy,0.0023160326094967968
202,Dutch,sub-015,acoustic+phonemes+surprisal+entropy,0.002383715991996218
203,Dutch,sub-019,acoustic+phonemes+surprisal+entropy,0.0027481856497577
204,Dutch,sub-004,acoustic+phonemes+surprisal+entropy,0.003460337520822028
205,Dutch,sub-028,acoustic+phonemes+surprisal+entropy,0.0022367634850111026
206,Dutch,sub-013,acoustic+phonemes+surprisal+entropy,0.0011799265029340655
207,Dutch,sub-020,acoustic+phonemes+surprisal+entropy,0.0011190461394296435
208,Dutch,sub-003,acoustic+phonemes+surprisal+entropy,0.001754660369677484
209,Dutch,sub-026,acoustic+phonemes+surprisal+entropy,0.0028482154865481406
210,Dutch,sub-030,acoustic+phonemes+surprisal+entropy,0.003797222989051806
211,Dutch,sub-008,acoustic+phonemes+surprisal+entropy,0.003144694361531879
212,Dutch,sub-014,acoustic+phonemes+surprisal+entropy,0.006956671042460928
213,Dutch,sub-027,acoustic+phonemes+surprisal+entropy,0.0022189631083418043
214,Dutch,sub-032,acoustic+phonemes+surprisal+entropy,0.004285712759738831
215,Dutch,sub-021,acoustic+phonemes+surprisal+entropy,0.0035732137035650595
216,Dutch,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.002593498894164882
217,Dutch,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.003332828969452632
218,Dutch,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.0062270831958736814
219,Dutch,sub-023,acoustic+phonemes+surprisal+entropy+freq,0.002272278576883628
220,Dutch,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0017998194149300498
