,Language,subject,model,accuracy
151,Dutch,sub-033,first_2_parts_acoustic+phonemes,0.002896993772069883
152,Dutch,sub-001,first_2_parts_acoustic+phonemes,0.00237450279311059
153,Dutch,sub-010,first_2_parts_acoustic+phonemes,0.0023032410674131538
154,Dutch,sub-015,first_2_parts_acoustic+phonemes,0.002332355596973118
155,Dutch,sub-019,first_2_parts_acoustic+phonemes,0.0026817425482772903
156,Dutch,sub-004,first_2_parts_acoustic+phonemes,0.0034138187278326204
157,Dutch,sub-028,first_2_parts_acoustic+phonemes,0.002244630252833957
158,Dutch,sub-013,first_2_parts_acoustic+phonemes,0.001182364280923769
159,Dutch,sub-020,first_2_parts_acoustic+phonemes,0.0010938548571014918
160,Dutch,sub-003,first_2_parts_acoustic+phonemes,0.0017045660143732357
161,Dutch,sub-026,first_2_parts_acoustic+phonemes,0.002843668927012369
162,Dutch,sub-030,first_2_parts_acoustic+phonemes,0.0037348346461010535
163,Dutch,sub-008,first_2_parts_acoustic+phonemes,0.0030721021762615936
164,Dutch,sub-014,first_2_parts_acoustic+phonemes,0.006816562200613966
165,Dutch,sub-027,first_2_parts_acoustic+phonemes,0.0021369008162029097
166,Dutch,sub-032,first_2_parts_acoustic+phonemes,0.0041369495296116
167,Dutch,sub-021,first_2_parts_acoustic+phonemes,0.0034806517094031425
168,Dutch,sub-009,first_2_parts_acoustic+phonemes+surprisal,0.0025977543613152896
169,Dutch,sub-011,first_2_parts_acoustic+phonemes+surprisal,0.0032203934833849976
170,Dutch,sub-017,first_2_parts_acoustic+phonemes+surprisal,0.005919587931711155
171,Dutch,sub-023,first_2_parts_acoustic+phonemes+surprisal,0.0022822347364276937
172,Dutch,sub-018,first_2_parts_acoustic+phonemes+surprisal,0.0018680416522073094
173,Dutch,sub-029,first_2_parts_acoustic+phonemes+surprisal,0.003179754956768809
174,Dutch,sub-025,first_2_parts_acoustic+phonemes+surprisal,0.004125018582121452
175,Dutch,sub-033,first_2_parts_acoustic+phonemes+surprisal,0.0029100215367442025
176,Dutch,sub-001,first_2_parts_acoustic+phonemes+surprisal,0.0023934060360223564
177,Dutch,sub-010,first_2_parts_acoustic+phonemes+surprisal,0.0023069675845329126
178,Dutch,sub-015,first_2_parts_acoustic+phonemes+surprisal,0.0023507661595457184
179,Dutch,sub-019,first_2_parts_acoustic+phonemes+surprisal,0.0026979565162486823
180,Dutch,sub-004,first_2_parts_acoustic+phonemes+surprisal,0.003428883483019948
181,Dutch,sub-028,first_2_parts_acoustic+phonemes+surprisal,0.002241932523401825
182,Dutch,sub-013,first_2_parts_acoustic+phonemes+surprisal,0.001185262768582199
183,Dutch,sub-020,first_2_parts_acoustic+phonemes+surprisal,0.001100895006719065
184,Dutch,sub-003,first_2_parts_acoustic+phonemes+surprisal,0.0017273226277480648
185,Dutch,sub-026,first_2_parts_acoustic+phonemes+surprisal,0.0028456462717519632
186,Dutch,sub-030,first_2_parts_acoustic+phonemes+surprisal,0.0037602707767937582
187,Dutch,sub-008,first_2_parts_acoustic+phonemes+surprisal,0.0030988356875897224
188,Dutch,sub-014,first_2_parts_acoustic+phonemes+surprisal,0.006867895380813554
189,Dutch,sub-027,first_2_parts_acoustic+phonemes+surprisal,0.0021724539632975164
190,Dutch,sub-032,first_2_parts_acoustic+phonemes+surprisal,0.00417939177380532
191,Dutch,sub-021,first_2_parts_acoustic+phonemes+surprisal,0.003514924042981005
192,Dutch,sub-009,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002625831270674179
193,Dutch,sub-011,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0033036808573516136
194,Dutch,sub-017,first_2_parts_acoustic+phonemes+surprisal+entropy,0.006132949483773949
195,Dutch,sub-023,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002286013732476725
196,Dutch,sub-018,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0018685398450022333
197,Dutch,sub-029,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0032226365432684607
198,Dutch,sub-025,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0042231272837463425
199,Dutch,sub-033,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002931809927430698
200,Dutch,sub-001,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002403341376045151
201,Dutch,sub-010,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0023160326094967968
202,Dutch,sub-015,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002383715991996218
203,Dutch,sub-019,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0027481856497577
204,Dutch,sub-004,first_2_parts_acoustic+phonemes+surprisal+entropy,0.003460337520822028
