,onset,offset,words
609,185.49,185.67,in
610,185.67,185.81,hun
611,185.81,186.05,nood
612,186.05,186.14,te
613,186.14,186.29,
614,186.29,186.53499,hulp
615,186.53499,186.62998,te
616,186.62998,187.07,komen
617,187.07,187.48,
618,187.48,187.65,maar
619,187.65,187.75,zij
620,187.75,187.8,
621,187.8,188.16,konden
622,188.16,188.37,tegen
623,188.37,188.41,de
624,188.41,188.93,soldaten
625,188.93,189.12,niets
626,189.12,189.77,uitrichten
627,189.77,190.83,
628,190.83,190.93,Er
629,190.93,191.04,werd
630,191.04,191.39,melding
631,191.39,191.57,van
632,191.57,191.63,het
633,191.63,191.95,geval
634,191.95,192.39,gemaakt
635,192.39,192.45,aan
636,192.45,192.51,den
637,192.51,193.0,koning
638,193.0,193.49,
639,193.49,193.68,hij
640,193.68,194.13,ergerde
641,194.13,194.41,zich
642,194.41,194.65,
643,194.65,194.75,en
644,194.75,194.94,liet
645,194.94,194.99,een
646,194.99,195.6,kapitein
647,195.6,195.75,met
648,195.75,195.89,zijn
649,195.89,196.4,manschappen
650,196.4,197.04,uitrukken
651,197.04,198.08,
652,198.08,198.24,Maar
653,198.24,198.31,de
654,198.31,198.44,man
655,198.44,198.58,met
656,198.58,198.64,den
657,198.64,199.09,ransel
658,199.09,199.36,
659,199.36,199.5,had
660,199.5,199.96,dadelijk
661,199.96,200.05,meer
662,200.05,200.63,manschappen
663,200.63,200.98,bijeen
664,200.98,201.04,en
665,201.04,201.36,sloeg
666,201.36,201.53,den
667,201.53,202.09,kapitein
668,202.09,202.27,met
669,202.27,202.3,de
670,202.3,202.63,zijnen
671,202.63,203.0,terug
672,203.0,203.34,
673,203.34,203.51,dat
674,203.51,203.61,ze
675,203.61,203.79,met
676,203.79,204.4,bloedneuzen
677,204.4,204.65,moesten
678,204.65,205.2,aftrekken
679,205.2,206.07,
680,206.07,206.1,De
681,206.1,206.48,
682,206.48,206.85,koning
683,206.85,207.21,zei
684,207.21,207.59,
685,207.59,207.84,wij
686,207.84,208.15,zullen
687,208.15,208.27,dien
688,208.27,208.88,landlooper
689,208.88,209.09,toch
690,209.09,209.24,wel
691,209.24,209.66,klein
692,209.66,210.18,krijgen
693,210.18,210.99,
694,210.99,211.14,en
695,211.14,211.31,hij
696,211.31,211.68499,beval
697,211.68499,211.92,een
698,211.92,212.13,nog
699,212.13,212.51,grootere
700,212.51,213.0,schare
701,213.0,213.31,tegen
702,213.31,213.4,hem
703,213.4,213.59,op
704,213.59,213.71,te
705,213.71,214.08,rukken
706,214.08,215.23,
707,215.23,215.39,maar
708,215.39,215.49,die
709,215.49,215.7,kon
710,215.7,215.84,nog
711,215.84,215.91,
712,215.91,216.15,minder
713,216.15,216.71,uitrichten
714,216.71,217.05,
715,217.05,217.21,want
716,217.21,217.29,hij
717,217.29,217.59,zette
718,217.59,217.72,er
719,217.72,218.07,nog
720,218.07,218.31,veel
721,218.31,218.47,meer
722,218.47,218.75499,volk
723,218.75499,219.44,tegenover
724,219.44,220.68,
725,220.68,220.76,en
726,220.76,221.23,daarna
727,221.23,221.6,draaide
728,221.6,221.75,hij
729,221.75,221.86,nog
730,221.86,222.32,driemaal
731,222.32,222.48,zijn
732,222.48,222.74,hoedje
733,222.74,222.9,op
734,222.9,223.06,zijn
735,223.06,223.33,hoofd
736,223.33,223.61,rond
737,223.61,224.37,
738,224.37,224.53,toen
739,224.53,224.79,begon
740,224.79,224.89,het
741,224.89,225.19,zware
742,225.19,225.55,geschut
743,225.55,225.61,te
744,225.61,226.04,spelen
745,226.04,226.57,
746,226.57,226.73,en
747,226.73,226.9,
748,226.9,227.33,al
749,227.33,227.46,’s
750,227.46,227.89,konings
751,227.89,228.57,soldaten
752,228.57,228.73,werden
753,228.73,229.38,verslagen
754,229.38,229.49,en
755,229.49,229.64,op
756,229.64,229.71,de
757,229.71,230.0,vlucht
758,230.0,230.5,gejaagd
759,230.5,233.75,
760,233.75,233.93,Nu
761,233.93,234.2,maak
762,234.2,234.27,ik
763,234.27,234.35,
764,234.35,234.58,geen
765,234.58,235.18,vrede
766,235.18,235.7,
767,235.7,235.98,zei
768,235.98,236.31,hij
769,236.31,237.01,
770,237.01,237.37,voordat
771,237.37,237.4,de
772,237.4,237.46,
773,237.46,237.84,koning
774,237.84,237.98,mij
775,237.98,238.18,zijn
776,238.18,238.45,dochter
777,238.45,238.65,tot
778,238.65,238.93,vrouw
779,238.93,239.34,geeft
780,239.34,239.61,
781,239.61,239.73,en
782,239.73,239.82,
783,239.82,240.03,ik
784,240.03,240.08,
785,240.08,240.22,in
786,240.22,240.54,zijn
787,240.54,240.83,naam
788,240.83,240.92,het
789,240.92,240.97,
790,240.97,241.38,geheele
791,241.38,241.61,rijk
792,241.61,241.7,
793,241.7,241.87,mag
794,241.87,242.45,regeeren
795,242.45,243.72,
796,243.72,244.09,Moeten
797,244.09,244.28,is
798,244.28,244.69,dwang
799,244.69,244.96,
800,244.96,245.16,zei
801,245.16,245.22,de
802,245.22,245.63,koning
803,245.63,245.88,tegen
804,245.88,246.05,zijn
805,246.05,246.42,dochter
806,246.42,246.95,
807,246.95,247.11499,wat
808,247.11499,247.28,kan
809,247.28,247.4,ik
810,247.4,247.81,anders
811,247.81,248.02,doen
812,248.02,248.14,dan
813,248.14,248.28,hem
814,248.28,248.4,zijn
815,248.4,248.69,zin
816,248.69,248.74,
817,248.74,249.22,geven
818,249.22,249.55,
819,249.55,249.67,wil
820,249.67,249.76,ik
821,249.76,250.14,vrede
822,250.14,250.41,hebben
823,250.41,250.45,en
824,250.45,250.53,de
825,250.53,250.88,kroon
826,250.88,250.97,op
827,250.97,251.07,mijn
828,251.07,251.37,hoofd
829,251.37,251.76,houden
830,251.76,252.23,
831,252.23,252.3,dan
832,252.3,252.55,zit
833,252.55,252.59,er
834,252.59,252.81,niets
835,252.81,253.12,anders
836,253.12,253.28499,op
837,253.28499,253.39,dan
838,253.39,253.51,dat
839,253.51,253.66,hij
840,253.66,253.76,je
841,253.76,253.81,
842,253.81,254.16,krijgt
843,254.16,256.37,
844,256.37,256.49,De
845,256.49,256.94,bruiloft
846,256.94,257.08,werd
847,257.08,257.56,gevierd
848,257.56,257.86,
849,257.86,257.95,maar
850,257.95,258.01,de
851,258.01,258.5,prinses
852,258.5,258.64,was
853,258.64,259.22,verdrietig
854,259.22,259.31,
855,259.31,259.62,omdat
856,259.62,259.73,haar
857,259.73,260.15,gemaal
858,260.15,260.28,maar
859,260.28,260.31,een
860,260.31,260.75,gewoon
861,260.75,261.02,man
862,261.02,261.31,was
863,261.31,261.55,
864,261.55,261.67,met
865,261.67,261.7,een
866,261.7,262.14499,schunnig
867,262.14499,262.4,hoedje
868,262.4,262.67,op
869,262.67,262.98,
870,262.98,263.08,en
871,263.08,263.17,een
872,263.17,263.49,ouden
873,263.49,263.95,ransel
874,263.95,264.13,om
875,264.13,265.06,
876,265.06,265.13,Zij
877,265.13,265.57,
878,265.57,265.8,was
879,265.8,266.1,graag
880,266.1,266.15,
881,266.15,266.29,weêr
882,266.29,266.43,van
883,266.43,266.53,hem
884,266.53,266.68,af
885,266.68,266.73,
886,266.73,267.16,geweest
887,267.16,267.26,
888,267.26,267.43,en
889,267.43,267.73,dag
890,267.73,267.84,en
891,267.84,268.09,nacht
892,268.09,268.19,
893,268.19,268.41,gingen
894,268.41,268.62,haar
895,268.62,269.05,gedachten
896,269.05,269.39,over
897,269.39,269.42,een
898,269.42,269.72,middel
899,269.72,271.69,
900,271.69,271.89,Toen
901,271.89,272.1,dacht
902,272.1,272.39,zij
903,272.39,272.77,
904,272.77,273.07,zouden
905,273.07,273.32,zijn
906,273.32,273.98,wonderkrachten
907,273.98,274.3,misschien
908,274.3,274.36,in
909,274.36,274.52,zijn
910,274.52,274.9,ransel
911,274.9,275.39,steken
912,275.39,275.96,
913,275.96,275.99,en
914,275.99,276.31,
915,276.31,276.47,zij
916,276.47,276.82,stelde
917,276.82,277.02499,zich
918,277.02499,277.3,erg
919,277.3,277.76,vriendelijk
920,277.76,278.12,aan
921,278.12,278.28,en
922,278.28,278.91,liefkoosde
923,278.91,279.25,hem
924,279.25,279.32,
925,279.32,279.38,en
926,279.38,279.81,zei
927,279.81,280.57,
928,280.57,280.65,Als
929,280.65,280.77,je
930,280.77,280.97,
931,280.97,281.15,toch
932,281.15,281.3,dien
933,281.3,281.71,leelijken
934,281.71,281.76,
935,281.76,282.07,ransel
936,282.07,282.21,maar
937,282.21,282.7,afleggen
938,282.7,283.07,wilde
939,283.07,283.46,
940,283.46,283.59,hij
941,283.59,284.08,ontsiert
942,284.08,284.13,je
943,284.13,284.54,zoo
944,284.54,284.87,
945,284.87,285.01,dat
946,285.01,285.13,ik
947,285.13,285.19,
948,285.19,285.29,mij
949,285.29,285.53,soms
950,285.53,285.65,voor
951,285.65,285.72,je
952,285.72,286.21,schamen
953,286.21,286.56,moet
954,286.56,288.57,
955,288.57,288.82,Lieve
956,288.82,288.89,
957,288.89,289.21,kind
958,289.21,289.7,antwoordde
959,289.7,289.91,hij
960,289.91,290.2,
961,290.2,290.35,die
962,290.35,290.74,ransel
963,290.74,290.88,is
964,290.88,291.0,mijn
965,291.0,291.44,grootste
966,291.44,291.9,schat
967,291.9,292.37,
968,292.37,292.66,zoolang
969,292.66,292.82,ik
970,292.82,292.97,hem
971,292.97,293.21,heb
972,293.21,293.56,
973,293.56,293.82,behoef
974,293.82,293.91,ik
975,293.91,294.05,voor
976,294.05,294.24,geen
977,294.24,294.54,macht
978,294.54,294.6,
979,294.6,294.72,ter
980,294.72,295.01,wereld
981,295.01,295.22,bang
982,295.22,295.32,te
983,295.32,295.63,zijn
984,295.63,296.33,
985,296.33,296.45,en
986,296.45,296.63499,hij
987,296.63499,297.08,vertelde
988,297.08,297.36,haar
989,297.36,297.75,welke
990,297.75,297.82,de
991,297.82,298.4,wonderkracht
992,298.4,298.8,was
993,298.8,299.99,
994,299.99,300.16,Toen
995,300.16,300.39,viel
996,300.39,300.54,zij
997,300.54,300.63,hem
998,300.63,300.79,om
999,300.79,300.87,den
1000,300.87,301.27,hals
1001,301.27,301.49,
1002,301.49,301.61,of
1003,301.61,301.77,zij
1004,301.77,301.9,hem
1005,301.9,302.09,wilde
1006,302.09,302.19,
1007,302.19,302.53,kussen
1008,302.53,302.92,
1009,302.92,303.05,maar
1010,303.05,303.23,nam
1011,303.23,303.35,hem
1012,303.35,303.88,tegelijk
1013,303.88,304.22,handig
1014,304.22,304.33,den
1015,304.33,304.67,ransel
1016,304.67,304.78,van
1017,304.78,304.85,den
1018,304.85,305.37,schouder
1019,305.37,305.65,
1020,305.65,305.8,en
1021,305.8,305.97,liep
1022,305.97,306.01,er
1023,306.01,306.17,meê
1024,306.17,306.45,weg
1025,306.45,306.98,
1026,306.98,307.07,Toen
1027,307.07,308.62,
1028,308.62,308.87,zij
1029,308.87,309.01,nu
1030,309.01,309.31,alleen
1031,309.31,309.51,was
1032,309.51,309.84,klopte
1033,309.84,310.03,zij
1034,310.03,310.11,er
1035,310.11,310.29,op
1036,310.29,310.36,
1037,310.36,310.49,en
1038,310.49,310.86,beval
1039,310.86,310.89,de
1040,310.89,311.5,soldaten
1041,311.5,311.79,
1042,311.79,311.9,dat
1043,311.9,312.08,zij
1044,312.08,312.22,hun
1045,312.22,312.57,vorigen
1046,312.57,312.97,meester
1047,312.97,313.25,moesten
1048,313.25,313.65,gevangen
1049,313.65,313.96,nemen
1050,313.96,314.26,
1051,314.26,314.38,en
1052,314.38,314.54,uit
1053,314.54,314.59,het
1054,314.59,314.67,
1055,314.67,315.12,paleis
1056,315.12,315.67,wegbrengen
1057,315.67,316.56,
1058,316.56,316.78,Zij
1059,316.78,317.61,gehoorzaamden
1060,317.61,317.93,
1061,317.93,318.01,en
1062,318.01,318.07,de
1063,318.07,318.49,valsche
1064,318.49,318.82,vrouw
1065,318.82,319.04,liet
1066,319.04,319.32,nog
1067,319.32,319.41,meer
1068,319.41,319.92,manschappen
1069,319.92,320.36,volgen
1070,320.36,320.82,
1071,320.82,320.92,die
