,onset,offset,words
847,218.35,218.44,maar
848,218.44,218.74,kwamen
849,218.74,218.82,al
850,218.82,219.2,spoedig
851,219.2,219.31,weer
852,219.31,219.67,boven
853,219.67,219.89,
854,219.89,220.02,en
855,220.02,220.32,zwommen
856,220.32,221.0,uitmuntend
857,221.0,221.46,
858,221.46,221.6,hun
859,221.6,221.91,pooten
860,221.91,222.16,gingen
861,222.16,222.3,van
862,222.3,222.59,zelf
863,222.59,222.84,
864,222.84,222.99,en
865,222.99,223.28,allen
866,223.28,223.48,
867,223.48,223.72,waren
868,223.72,223.8,zij
869,223.8,223.89,in
870,223.89,223.93,het
871,223.93,224.27,water
872,224.27,224.87,
873,224.87,225.24,zelfs
874,225.24,225.29,
875,225.29,225.43,het
876,225.43,225.9,leelijke
877,225.9,226.46,grauwe
878,226.46,226.8,eendje
879,226.8,227.07,zwom
880,227.07,227.29,mee
881,227.29,228.24,
882,228.24,228.73,Neen
883,228.73,228.92,
884,228.92,229.05,het
885,229.05,229.18,is
886,229.18,229.39,geen
887,229.39,229.89,kalkoen
888,229.89,230.12,
889,230.12,230.36,dacht
890,230.36,230.39,de
891,230.39,230.59,oude
892,230.59,230.83,eend
893,230.83,231.37,
894,231.37,231.61,kijk
895,231.61,231.78,eens
896,231.78,231.96,
897,231.96,232.04,hoe
898,232.04,232.34,ferm
899,232.34,232.41,hij
900,232.41,232.56,met
901,232.56,232.7,zijn
902,232.7,233.04,pooten
903,233.04,233.36,slaat
904,233.36,233.55,
905,233.55,233.64,en
906,233.64,233.81,hoe
907,233.81,233.99499,recht
908,233.99499,234.1,hij
909,234.1,234.27,zich
910,234.27,234.44,weet
911,234.44,234.5,te
912,234.5,234.84,houden
913,234.84,235.38,
914,235.38,235.43,t
915,235.43,235.52499,Is
916,235.52499,235.64,mijn
917,235.64,235.97,eigen
918,235.97,236.25,kind
919,236.25,236.97,
920,236.97,237.39,Eigenlijk
921,237.39,237.57,
922,237.57,237.72,is
923,237.72,237.77,hij
924,237.77,237.94,toch
925,237.94,238.11,nog
926,238.11,238.26,zoo
927,238.26,238.66,leelijk
928,238.66,238.8,niet
929,238.8,239.11,
930,239.11,239.27,als
931,239.27,239.43,men
932,239.43,239.49,hem
933,239.49,239.67,maar
934,239.67,239.78,eens
935,239.78,239.95,goed
936,239.95,240.38,bekijkt
937,240.38,241.0,
938,241.0,241.46,Kwak
939,241.46,241.61,
940,241.61,242.14,kwak
941,242.14,243.1,
942,243.1,243.35,Gaat
943,243.35,243.45,maar
944,243.45,243.62,met
945,243.62,243.7,mij
946,243.7,243.96,mee
947,243.96,244.34,
948,244.34,244.47,dan
949,244.47,244.59,zal
950,244.59,244.72,ik
951,244.72,244.76,je
952,244.76,244.83,in
953,244.83,244.89,de
954,244.89,245.24,groote
955,245.24,245.53,wereld
956,245.53,245.78,brengen
957,245.78,245.99,
958,245.99,246.07,en
959,246.07,246.19,je
960,246.19,246.28,in
961,246.28,246.39,de
962,246.39,246.45,
963,246.45,246.93,eendenkooi
964,246.93,247.51,voorstellen
965,247.51,247.99,
966,247.99,248.12,maar
967,248.12,248.35,zorgt
968,248.35,248.6,
969,248.6,248.73,dat
970,248.73,248.8,je
971,248.8,249.1,dicht
972,249.1,249.16,in
973,249.16,249.24,mijn
974,249.24,249.65,nabijheid
975,249.65,249.88,blijft
976,249.88,250.33,
977,250.33,250.39,en
978,250.39,250.64,neemt
979,250.64,250.67,je
980,250.67,250.77,voor
981,250.77,250.85,de
982,250.85,250.92,
983,250.92,251.13,kat
984,251.13,251.25,in
985,251.25,251.47,acht
986,251.47,252.83,
987,252.83,252.99,En
988,252.99,253.27,zoo
989,253.27,253.75499,begaven
990,253.75499,253.89,zij
991,253.89,254.05,zich
992,254.05,254.16,naar
993,254.16,254.23,de
994,254.23,254.84,eendenkooi
995,254.84,255.39,
996,255.39,255.83,Daarbinnen
997,255.83,256.02,
998,256.02,256.15,was
999,256.15,256.2,een
1000,256.2,256.76,verschrikkelijk
1001,256.76,257.22,rumoer
1002,257.22,257.58,
