phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number
Z;161.72;161.85;jeune;161.72;162.01;4.409139780035069;4.696626826843674;11.79947701630033;9.707072;5.959749;586
9;161.85;161.94;jeune;161.72;162.01;0.1987545201512666;12.15444784914763;11.79947701630033;9.707072;5.959749;586
n;161.94;162.01;jeune;161.72;162.01;0.0009380230273121;2.705400279042826;11.79947701630033;9.707072;5.959749;586
O;162.01;162.09;homme;162.01;162.14;4.409139780035069;7.778162152016155;10.173430771229032;5.224412;2.0101054;587
m;162.09;162.14;homme;162.01;162.14;0.0230617781445188;10.758466797076975;10.173430771229032;5.224412;2.0101054;587
s;162.14;162.28;saisi;162.14;162.52;4.409139780035069;3.649530068972855;16.389121927359923;7.4222765;14.205806;588
E;162.28;162.33;saisi;162.14;162.52;0.2796023770778397;3.4757311985503296;16.389121927359923;7.4222765;14.205806;588
z;162.33;162.45;saisi;162.14;162.52;0.0173593803433793;5.395852046867383;16.389121927359923;7.4222765;14.205806;588
i;162.45;162.52;saisi;162.14;162.52;0.0012850498695265;1.8529465898683064;16.389121927359923;7.4222765;14.205806;588
d;162.52;162.58;d';162.52;162.58;4.409139780035069;3.5165938505373133;6.964068759155997;3.0739715;1.2149646;589
e;162.58;162.65;effroi;162.58;162.89;4.409139780035069;4.815820454336018;18.28201063849022;3.0649583;3.6547942;590
f;162.65;162.74;effroi;162.58;162.89;0.1119471762885376;6.444330156459341;18.28201063849022;3.0649583;3.6547942;590
R;162.74;162.78;effroi;162.58;162.89;0.0033995537609136;2.649684972341693;18.28201063849022;3.0649583;3.6547942;590
w;162.78;162.84;effroi;162.58;162.89;0.0013515001948707;3.7515177019957338;18.28201063849022;3.0649583;3.6547942;590
a;162.84;162.89;effroi;162.58;162.89;0.0009096713508844;3.050234302520137;18.28201063849022;3.0649583;3.6547942;590
e;162.97;163.02;s'écria;162.97;163.34;4.409139780035069;4.815820454336018;NAN;6.8551207;4.203821;591
k;163.02;163.09;s'écria;162.97;163.34;0.1119471762885376;4.546638228823473;NAN;6.8551207;4.203821;591
R;163.09;163.16;s'écria;162.97;163.34;0.0093986126713643;1.480427878853063;NAN;6.8551207;4.203821;591
i;163.16;163.28;s'écria;162.97;163.34;0.0040846497833882;0.5898863793604414;NAN;6.8551207;4.203821;591
a;163.28;163.34;s'écria;162.97;163.34;0.0030152335817503;7.073248982030639;NAN;6.8551207;4.203821;591
m;163.63;163.76;Mon;163.63;163.95;4.409139780035069;4.216572460592082;7.8725409875079935;4.1973925;15.782078;592
o~;163.76;163.8;Mon;163.63;163.95;0.2093762024126659;5.6107578540110215;7.8725409875079935;4.1973925;15.782078;592
n;163.8;163.95;Mon;163.63;163.95;0.0067680787418046;8.844674384080648;7.8725409875079935;4.1973925;15.782078;592
b;163.95;164.08;bon;163.95;164.18;4.409139780035069;5.580931033330403;9.218120149109156;8.049002;6.929689;593
o~;164.08;164.18;bon;163.95;164.18;0.1086612429825165;4.627058228501495;9.218120149109156;8.049002;6.929689;593
S;164.18;164.3;chasseur;164.18;164.75;4.409139780035069;6.628288652147766;15.372064563361429;7.105127;12.067965;594
a;164.3;164.36;chasseur;164.18;164.75;0.0657095430179095;3.103105305359027;15.372064563361429;7.105127;12.067965;594
s;164.36;164.5;chasseur;164.18;164.75;0.0099939483469352;3.505358259974789;15.372064563361429;7.105127;12.067965;594
9;164.5;164.72;chasseur;164.18;164.75;0.0017462893145695;1.7546478717267595;15.372064563361429;7.105127;12.067965;594
R;164.72;164.75;chasseur;164.18;164.75;0.0012576727673755;1.2525735133490112;15.372064563361429;7.105127;12.067965;594
l;164.75;164.79;laisse-moi;164.75;165.1;4.409139780035069;3.755260160408023;NAN;6.2966895;13.535439;595
E;164.79;164.83;laisse-moi;164.75;165.1;0.2258054342494331;5.8424762821117735;NAN;6.2966895;13.535439;595
s;164.83;164.97;laisse-moi;164.75;165.1;0.0080379850099147;0.9183154943986392;NAN;6.2966895;13.535439;595
m;164.97;165.01;laisse-moi;164.75;165.1;0.0037285063230564;7.758889432720965;NAN;6.2966895;13.535439;595
w;165.01;165.07;laisse-moi;164.75;165.1;0.0008333963937691;5.247927513443586;NAN;6.2966895;13.535439;595
a;165.07;165.1;laisse-moi;164.75;165.1;0.0008333963937691;5.247927513443586;NAN;6.2966895;13.535439;595
l;165.1;165.15;la;165.1;165.23;4.409139780035069;3.755260160408023;5.814498696260873;7.482711;7.147191;596
a;165.15;165.23;la;165.1;165.23;0.2258054342494331;1.7693520610671605;5.814498696260873;7.482711;7.147191;596
