phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
a~,30.31,30.42,en,30.31,30.42
R,30.42,30.5,raison,30.42,30.85
E,30.5,30.6,raison,30.42,30.85
z,30.6,30.7,raison,30.42,30.85
o~,30.7,30.85,raison,30.42,30.85
d,30.85,30.9,des,30.85,31.09
e,30.9,30.99,des,30.85,31.09
z,30.99,31.09,des,30.85,31.09
e,31.09,31.26,épaisses,31.09,31.53
p,31.26,31.3,épaisses,31.09,31.53
E,31.3,31.4,épaisses,31.09,31.53
s,31.4,31.53,épaisses,31.09,31.53
v,31.53,31.58,vapeurs,31.53,32.13
a,31.58,31.78,vapeurs,31.53,32.13
p,31.78,31.83,vapeurs,31.53,32.13
9,31.83,32.08,vapeurs,31.53,32.13
R,32.08,32.13,vapeurs,31.53,32.13
d,32.45,32.48,dont,32.45,32.67
o~,32.48,32.61,dont,32.45,32.67
t,32.61,32.67,dont,32.45,32.67
E,32.67,32.78,elles,32.67,32.88
l,32.78,32.82,elles,32.67,32.88
z,32.82,32.88,elles,32.67,32.88
e,32.88,33.03,étaient,32.88,33.15
t,33.03,33.07,étaient,32.88,33.15
E,33.07,33.15,étaient,32.88,33.15
R,33.15,33.19,remplies,33.15,33.83
a~,33.19,33.45,remplies,33.15,33.83
p,33.45,33.53,remplies,33.15,33.83
l,33.53,33.56,remplies,33.15,33.83
i,33.56,33.83,remplies,33.15,33.83
e,34.34,34.46,et,34.34,34.46
l,34.46,34.5,les,34.46,34.55
e,34.5,34.55,les,34.46,34.55
?,34.55,34.58,hauteurs,34.55,35.11
o,34.58,34.78,hauteurs,34.55,35.11
t,34.78,34.87,hauteurs,34.55,35.11
9,34.87,35.07,hauteurs,34.55,35.11
R,35.07,35.11,hauteurs,34.55,35.11
e,35.11,35.2,et,35.11,35.2
l,35.2,35.23,les,35.2,35.32
e,35.23,35.32,les,35.2,35.32
R,35.32,35.41,rochers,35.32,35.96
o,35.41,35.52,rochers,35.32,35.96
S,35.52,35.72,rochers,35.32,35.96
e,35.72,35.96,rochers,35.32,35.96
s,36.31,36.39,situés,36.31,36.87
i,36.39,36.56,situés,36.31,36.87
t,36.56,36.6,situés,36.31,36.87
y,36.6,36.72,situés,36.31,36.87
e,36.72,36.87,situés,36.31,36.87
o,36.87,37.01,au,36.87,37.01
s,37.01,37.17,sud-est,37.01,37.73
y,37.17,37.35,sud-est,37.01,37.73
d,37.35,37.38,sud-est,37.01,37.73
E,37.38,37.59,sud-est,37.01,37.73
z,37.59,37.73,sud-est,37.01,37.73
a~,38.19,38.43,empilés,38.19,38.84
p,38.43,38.48,empilés,38.19,38.84
i,38.48,38.69,empilés,38.19,38.84
l,38.69,38.72,empilés,38.19,38.84
e,38.72,38.84,empilés,38.19,38.84
d,38.84,38.88,dans,38.84,39.08
a~,38.88,39.0,dans,38.84,39.08
z,39.0,39.08,dans,38.84,39.08
e~,39.08,39.24,un,39.08,39.24
i,39.24,39.35,inextricable,39.24,40.14
n,39.35,39.41,inextricable,39.24,40.14
E,39.41,39.48,inextricable,39.24,40.14
k,39.48,39.51,inextricable,39.24,40.14
s,39.51,39.6,inextricable,39.24,40.14
t,39.6,39.63,inextricable,39.24,40.14
R,39.63,39.67,inextricable,39.24,40.14
i,39.67,39.77,inextricable,39.24,40.14
k,39.77,39.84,inextricable,39.24,40.14
a,39.84,40.05,inextricable,39.24,40.14
b,40.05,40.08,inextricable,39.24,40.14
l,40.08,40.14,inextricable,39.24,40.14
k,40.14,40.29,chaos,40.14,40.77
a,40.29,40.41,chaos,40.14,40.77
o,40.41,40.77,chaos,40.14,40.77
R,41.2,41.29,ressemblaient,41.2,41.86
@,41.29,41.33,ressemblaient,41.2,41.86
s,41.33,41.46,ressemblaient,41.2,41.86
a~,41.46,41.59,ressemblaient,41.2,41.86
b,41.59,41.64,ressemblaient,41.2,41.86
l,41.64,41.79,ressemblaient,41.2,41.86
E,41.79,41.86,ressemblaient,41.2,41.86
a,41.86,42.04,absolument,41.86,42.83499
p,42.04,42.08,absolument,41.86,42.83499
s,42.08,42.19,absolument,41.86,42.83499
o,42.19,42.24,absolument,41.86,42.83499
l,42.24,42.29,absolument,41.86,42.83499
y,42.29,42.41,absolument,41.86,42.83499
m,42.41,42.53,absolument,41.86,42.83499
a~,42.53,42.83499,absolument,41.86,42.83499
o,42.83499,42.96998,aux,42.83499,42.96998
s,42.96998,43.1,cités,42.96998,43.39
i,43.1,43.24,cités,42.96998,43.39
t,43.24,43.28,cités,42.96998,43.39
e,43.28,43.39,cités,42.96998,43.39
Z,43.39,43.51,géantes,43.39,43.96
e,43.51,43.68,géantes,43.39,43.96
a~,43.68,43.89,géantes,43.39,43.96
t,43.89,43.96,géantes,43.39,43.96
d,43.96,43.99,de,43.96,43.99
l,44.05,44.1,la,44.05,44.3
a,44.1,44.3,la,44.05,44.3
f,44.3,44.36,fable,44.3,44.67
a,44.36,44.57,fable,44.3,44.67
b,44.57,44.62,fable,44.3,44.67
l,44.62,44.67,fable,44.3,44.67
O,44.67,44.73,orientale,44.67,45.62
R,44.73,44.94,orientale,44.67,45.62
j,44.94,45.04,orientale,44.67,45.62
a~,45.04,45.24,orientale,44.67,45.62
t,45.24,45.31,orientale,44.67,45.62
a,45.31,45.51,orientale,44.67,45.62
l,45.51,45.62,orientale,44.67,45.62
n,46.53,46.59,Nous,46.53,46.75
u,46.59,46.65,Nous,46.53,46.75
z,46.65,46.75,Nous,46.53,46.75
a,46.75,46.89,approchions,46.75,47.46
p,46.89,46.94,approchions,46.75,47.46
R,46.94,46.98,approchions,46.75,47.46
o,46.98,47.08,approchions,46.75,47.46
S,47.08,47.17,approchions,46.75,47.46
j,47.17,47.27,approchions,46.75,47.46
o~,47.27,47.46,approchions,46.75,47.46
R,47.46,47.51,rapidement,47.46,48.11
a,47.51,47.67,rapidement,47.46,48.11
p,47.67,47.73,rapidement,47.46,48.11
i,47.73,47.84,rapidement,47.46,48.11
d,47.84,47.87,rapidement,47.46,48.11
m,47.87,47.95,rapidement,47.46,48.11
a~,47.95,48.11,rapidement,47.46,48.11
d,48.11,48.14,des,48.11,48.21
e,48.14,48.21,des,48.11,48.21
m,48.21,48.3,montagnes,48.21,48.87
o~,48.3,48.47,montagnes,48.21,48.87
t,48.47,48.54,montagnes,48.21,48.87
a,48.54,48.81,montagnes,48.21,48.87
J,48.81,48.87,montagnes,48.21,48.87
v,49.15,49.19,vers,49.15,49.38
E,49.19,49.3,vers,49.15,49.38
R,49.3,49.38,vers,49.15,49.38
l,49.38,49.42499,le,49.38,49.42499
s,49.42499,49.64998,sud,49.42499,49.97
y,49.64998,49.84,sud,49.42499,49.97
d,49.84,49.97,sud,49.42499,49.97
m,50.45,50.52,mais,50.45,50.59
E,50.52,50.59,mais,50.45,50.59
n,50.59,50.7,notre,50.59,50.89
o,50.7,50.76,notre,50.59,50.89
t,50.76,50.82,notre,50.59,50.89
R,50.82,50.89,notre,50.59,50.89
e,50.89,51.06,élévation,50.89,51.82
l,51.06,51.09,élévation,50.89,51.82
e,51.09,51.19,élévation,50.89,51.82
v,51.19,51.25,élévation,50.89,51.82
a,51.25,51.37,élévation,50.89,51.82
s,51.37,51.55,élévation,50.89,51.82
j,51.55,51.6,élévation,50.89,51.82
o~,51.6,51.82,élévation,50.89,51.82
e,52.2,52.37,était,52.2,52.55
t,52.37,52.42,était,52.2,52.55
E,52.42,52.55,était,52.2,52.55
p,52.55,52.64,plus,52.55,52.71
l,52.64,52.68,plus,52.55,52.71
y,52.68,52.71,plus,52.55,52.71
k,52.79,52.9,que,52.79,52.9
s,52.9,53.04,suffisante,52.9,53.81
y,53.04,53.13,suffisante,52.9,53.81
f,53.13,53.21,suffisante,52.9,53.81
i,53.21,53.3,suffisante,52.9,53.81
z,53.3,53.44,suffisante,52.9,53.81
a~,53.44,53.68,suffisante,52.9,53.81
t,53.68,53.81,suffisante,52.9,53.81
p,53.95,54.0,pour,53.95,54.08
u,54.0,54.08,pour,53.95,54.08
n,54.08,54.15,nous,54.08,54.27
u,54.15,54.27,nous,54.08,54.27
p,54.27,54.31,permettre,54.27,54.83499
E,54.31,54.4,permettre,54.27,54.83499
R,54.4,54.44,permettre,54.27,54.83499
m,54.44,54.52,permettre,54.27,54.83499
E,54.52,54.66,permettre,54.27,54.83499
t,54.66,54.83499,permettre,54.27,54.83499
d,54.83499,54.90998,de,54.83499,54.90998
