phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
d;10.19;10.27;donna;10.19;10.49;4.409139780035069;3.5165938505373133;17.132048132430473
o;10.27;10.34;donna;10.19;10.49;0.31645900118546794;6.165357101185096;17.132048132430473
n;10.34;10.43;donna;10.19;10.49;0.009503679824732091;1.6579933619984537;17.132048132430473
a;10.43;10.49;donna;10.19;10.49;0.00413008423046102;4.2206437593997235;17.132048132430473
l;10.49;10.52;le;10.49;10.65;4.409139780035069;3.7552601604080227;5.733517167758018
@;10.52;10.65;le;10.49;10.65;0.22580543424943314;0.8278069017369164;5.733517167758018
p;10.65;10.71;pain;10.65;10.84;4.409139780035069;3.530081653227226;13.80989032732196
e~;10.71;10.84;pain;10.65;10.84;0.3111310643031198;9.248980990620321;13.80989032732196
a;10.84;10.89;avec;10.84;11.08;4.409139780035069;3.7941932878383366;7.927597698041188
v;10.89;10.92;avec;10.84;11.08;0.22900409497933774;1.6606541598025746;7.927597698041188
E;10.92;10.97;avec;10.84;11.08;0.0678906809470009;0.2283406347506434;7.927597698041188
k;10.97;11.08;avec;10.84;11.08;0.03357388981990154;0.018539413699333852;7.927597698041188
l;11.08;11.12;lequel;11.08;11.37;4.409139780035069;3.7552601604080227;13.775841507183333
@;11.12;11.19;lequel;11.08;11.37;0.22580543424943314;0.8278069017369164;13.775841507183333
k;11.19;11.28;lequel;11.08;11.37;0.002549345195230675;1.1672963578023035;13.775841507183333
E;11.28;11.32;lequel;11.08;11.37;0.0018072725285107427;0.6475713507392158;13.775841507183333
l;11.32;11.37;lequel;11.08;11.37;0.0018072725285107427;0.6475713507392158;13.775841507183333
f;11.37;11.51;fut;11.37;11.57;4.409139780035069;5.1197770207622835;13.310324920084632
y;11.51;11.57;fut;11.37;11.57;0.14435107234724465;6.287146212305613;13.310324920084632
a;11.62;11.67;apaisée;11.62;12.02;4.409139780035069;3.7941932878383366;20.872080029644465
p;11.67;11.78;apaisée;11.62;12.02;0.22900409497933774;2.819440548065923;20.872080029644465
E;11.78;11.85;apaisée;11.62;12.02;0.03692671121028949;4.437391698830212;20.872080029644465
z;11.85;11.95;apaisée;11.62;12.02;0.0031782179182287444;5.828569271070275;20.872080029644465
e;11.95;12.02;apaisée;11.62;12.02;0.0008789932238045719;4.3183526406635355;20.872080029644465
l;12.02;12.06;la;12.02;12.13;4.409139780035069;3.7552601604080227;5.814498696260873
a;12.06;12.13;la;12.02;12.13;0.22580543424943314;1.7693520610671605;5.814498696260873
f;12.13;12.26;faim;12.13;12.61;4.409139780035069;5.1197770207622835;12.788572411678333
9~;12.26;12.36;faim;12.13;12.61;0.14435107234724465;9.857732314148619;12.788572411678333
n;12.36;12.61;faim;12.13;12.61;0.0008360266013866728;5.252854625951391;12.788572411678333
d;12.61;12.69;de;12.61;12.75;4.409139780035069;3.5165938505373133;5.160477121150187
@;12.69;12.75;de;12.61;12.75;0.31645900118546794;0.6054282932040682;5.160477121150187
t;12.75;12.82;tout;12.75;12.88;4.409139780035069;3.9974562187304596;7.819219359415835
u;12.82;12.88;tout;12.75;12.88;0.18010796168345372;3.278416644151088;7.819219359415835
l;12.88;12.91;le;12.88;12.91;4.409139780035069;3.7552601604080227;5.733517167758018
R;12.91;12.99;royaume;12.91;13.56;4.409139780035069;5.400144139330587;15.188264141997022
w;12.99;13.11;royaume;12.91;13.56;0.09537290166016034;7.897322038837397;15.188264141997022
a;13.11;13.15;royaume;12.91;13.56;0.0014275525764924299;0.9760464157217696;15.188264141997022
j;13.15;13.28;royaume;12.91;13.56;0.0010899466323673775;1.7446249714942335;15.188264141997022
o;13.28;13.4;royaume;12.91;13.56;0.0011003141491513393;2.510907252066032;15.188264141997022
m;13.4;13.56;royaume;12.91;13.56;0.0009647921933065799;2.457520342083674;15.188264141997022
a~;13.85;13.95;ensuite;13.85;14.29;4.409139780035069;5.5578611269601135;12.783714657841768
s;13.95;14.04;ensuite;13.85;14.29;0.08080481839981876;4.744122171036267;12.783714657841768
H;14.04;14.13;ensuite;13.85;14.29;0.004937809042583458;1.2693472103890977;12.783714657841768
i;14.13;14.23;ensuite;13.85;14.29;0.0026502453877022833;0.3613856614078636;12.783714657841768
