phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
R;10.41;10.46;baromètre;9.82;10.46;0.000833803;5.220117475;0.56;6.4832196;20;1;-0.836501268
e~;10.46;10.68;indiquait;10.46;11.07;4.40913978;7.361143335;0.84;6.384428;21;1;-0.251538767
d;10.68;10.71;indiquait;10.46;11.07;0.032938151;3.857426097;0.84;6.384428;21;1;-0.251538767
i;10.71;10.85;indiquait;10.46;11.07;0.003519461;0.799614811;0.84;6.384428;21;1;-0.251538767
k;10.85;10.92;indiquait;10.46;11.07;0.002906734;2.068474764;0.84;6.384428;21;1;-0.251538767
E;10.92;11.07;indiquait;10.46;11.07;0.00114605;3.949719568;0.84;6.384428;21;1;-0.251538767
y;11.07;11.28;une;11.07;11.38;4.40913978;6.506829788;8133.53;6.0492873;22;1;12.98966591
n;11.28;11.31;une;11.07;11.38;0.008059297;1.826414231;8133.53;6.0492873;22;1;12.98966591
@;11.31;11.38;une;11.07;11.38;0.002853376;7.47934007;8133.53;6.0492873;22;1;12.98966591
?;11.38;11.46;hauteur;11.38;11.73;4.40913978;9.028771714;18.19;3.9272802;23;-1;4.185073638
o;11.46;11.49;hauteur;11.38;11.73;0.017226148;3.52240703;18.19;3.9272802;23;-1;4.185073638
t;11.49;11.52;hauteur;11.38;11.73;0.002363118;3.56842329;18.19;3.9272802;23;-1;4.185073638
9;11.52;11.63;hauteur;11.38;11.73;0.001004042;3.356021294;18.19;3.9272802;23;-1;4.185073638
R;11.63;11.73;hauteur;11.38;11.73;0.000901122;3.176877762;18.19;3.9272802;23;-1;4.185073638
d;11.73;11.8;de;11.73;11.9;4.40913978;3.516593851;25220.96;7.3024435;24;1;14.62233557
@;11.8;11.9;de;11.73;11.9;0.316459001;0.605428293;25220.96;7.3024435;24;1;14.62233557
k;11.9;11.96;quinze;11.9;12.22;4.40913978;4.296214188;21.92;2.8817437;25;-1;4.454175893
e~;11.96;12.11;quinze;11.9;12.22;0.385222146;10.79262138;21.92;2.8817437;25;-1;4.454175893
z;12.11;12.22;quinze;11.9;12.22;0.001282648;1.464766932;21.92;2.8817437;25;-1;4.454175893
z;12.31;12.35;zéro;12.31;12.52;4.40913978;12.30965552;30.44;4.298711;26;-1;4.927896454
e;12.35;12.46;zéro;12.31;12.52;0.002270903;3.815353084;30.44;4.298711;26;-1;4.927896454
R;12.46;12.49;zéro;12.31;12.52;0.000975411;2.966141196;30.44;4.298711;26;-1;4.927896454
o;12.49;12.52;zéro;12.31;12.52;0.000922711;2.879193737;30.44;4.298711;26;-1;4.927896454
p;12.52;12.55;pieds;12.52;12.9;4.40913978;3.530081653;108.57;4.296998;27;-1;6.762481703
j;12.55;12.7;pieds;12.52;12.9;0.311131064;7.776812877;108.57;4.296998;27;-1;6.762481703
e;12.7;12.9;pieds;12.52;12.9;0.003272205;7.637539344;108.57;4.296998;27;-1;6.762481703
l;13.92;13.97;Le;13.92;14.08;4.40913978;3.75526016;16953.5;9.466335;28;1;14.04929552
@;13.97;14.08;Le;13.92;14.08;0.225805434;0.827806902;16953.5;9.466335;28;1;14.04929552
t;14.08;14.17;temps;14.08;14.34;4.40913978;3.997456219;1031.05;5.3776865;29;1;10.00989858
a~;14.17;14.34;temps;14.08;14.34;0.180107962;6.857031943;1031.05;5.3776865;29;1;10.00989858
e;14.34;14.48;était;14.34;14.68;4.40913978;4.815820454;2707.56;6.5291452;30;1;11.40277759
t;14.48;14.57;était;14.34;14.68;0.111947176;0.264481323;2707.56;6.5291452;30;1;11.40277759
E;14.57;14.68;était;14.34;14.68;0.088753609;0.101342875;2707.56;6.5291452;30;1;11.40277759
R;14.68;14.78;remarquablement;14.68;15.6;4.40913978;5.400144139;0.99;4.833227;31;1;-0.01449957
m;14.78;14.85;remarquablement;14.68;15.6;0.095372902;13.15508701;0.99;4.833227;31;1;-0.01449957
a;14.85;14.95;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
