phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
f;162.65;162.74;effroi;162.58;162.89;0.111947176;6.444330156;2.83;7.1661515;590;1;1.500802053
R;162.74;162.78;effroi;162.58;162.89;0.003399554;2.649684972;2.83;7.1661515;590;1;1.500802053
w;162.78;162.84;effroi;162.58;162.89;0.0013515;3.751517702;2.83;7.1661515;590;1;1.500802053
a;162.84;162.89;effroi;162.58;162.89;0.000909671;3.050234303;2.83;7.1661515;590;1;1.500802053
e;162.97;163.02;sՎcria;162.97;163.34;4.40913978;4.815820454;1.11E-06;4.9036117;591;-1;9.0073
k;163.02;163.09;sՎcria;162.97;163.34;0.111947176;4.546638229;1.11E-06;4.9036117;591;-1;9.0073
R;163.09;163.16;sՎcria;162.97;163.34;0.009398613;1.480427879;1.11E-06;4.9036117;591;-1;9.0073
i;163.16;163.28;sՎcria;162.97;163.34;0.00408465;0.589886379;1.11E-06;4.9036117;591;-1;9.0073
a;163.28;163.34;sՎcria;162.97;163.34;0.003015234;7.073248982;1.11E-06;4.9036117;591;-1;9.0073
m;163.63;163.76;Mon;163.63;163.95;4.40913978;4.216572461;3849.01;8.5514;592;1;11.9102717
o~;163.76;163.8;Mon;163.63;163.95;0.209376202;5.610757854;3849.01;8.5514;592;1;11.9102717
n;163.8;163.95;Mon;163.63;163.95;0.006768079;8.844674384;3849.01;8.5514;592;1;11.9102717
b;163.95;164.08;bon;163.95;164.18;4.40913978;5.580931033;1514.57;6.97742;593;1;10.56469254
o~;164.08;164.18;bon;163.95;164.18;0.108661243;4.627058229;1514.57;6.97742;593;1;10.56469254
S;164.18;164.3;chasseur;164.18;164.75;4.40913978;6.628288652;21.27;6.7660437;594;1;4.410748128
a;164.3;164.36;chasseur;164.18;164.75;0.065709543;3.103105305;21.27;6.7660437;594;1;4.410748128
s;164.36;164.5;chasseur;164.18;164.75;0.009993948;3.50535826;21.27;6.7660437;594;1;4.410748128
9;164.5;164.72;chasseur;164.18;164.75;0.001746289;1.754647872;21.27;6.7660437;594;1;4.410748128
R;164.72;164.75;chasseur;164.18;164.75;0.001257673;1.252573513;21.27;6.7660437;594;1;4.410748128
l;164.75;164.79;laisse-moi;164.75;165.1;4.40913978;3.75526016;1.11E-06;7.8976693;595;1;9.0073
E;164.79;164.83;laisse-moi;164.75;165.1;0.225805434;5.842476282;1.11E-06;7.8976693;595;1;9.0073
s;164.83;164.97;laisse-moi;164.75;165.1;0.008037985;0.918315494;1.11E-06;7.8976693;595;1;9.0073
m;164.97;165.01;laisse-moi;164.75;165.1;0.003728506;7.758889433;1.11E-06;7.8976693;595;1;9.0073
w;165.01;165.07;laisse-moi;164.75;165.1;0.000833396;5.247927513;1.11E-06;7.8976693;595;1;9.0073
a;165.07;165.1;laisse-moi;164.75;165.1;0.000833396;5.247927513;1.11E-06;7.8976693;595;1;9.0073
l;165.1;165.15;la;165.1;165.23;4.40913978;3.75526016;16028.08;8.551344;596;1;13.968314
