phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
l;8.33;8.36;avondmaal;7.85;8.36;0.0007989615837472102;5.285402218862248;18.625182993756503
k;8.36;8.45;klaar;8.36;8.65;4.483571098705468;4.803206420928256;10.769199385851572
l;8.45;8.48;klaar;8.36;8.65;0.18198847581797384;2.7849993658413728;10.769199385851572
a:;8.48;8.53;klaar;8.36;8.65;0.03347198684530806;1.9960539267591748;10.769199385851572
r;8.53;8.65;klaar;8.36;8.65;0.008203778880867308;0.1774426778710054;10.769199385851572
m;8.65;8.69;maakte;8.65;9.08;4.483571098705468;3.950811559733681;12.86519841480066
a:;8.69;8.81;maakte;8.65;9.08;0.27982055932309974;1.5933633881992932;12.86519841480066
k;8.81;8.93;maakte;8.65;9.08;0.09366392630382471;2.4032786221228495;12.86519841480066
t;8.93;9.01;maakte;8.65;9.08;0.017540573113760314;1.4429738056455375;12.86519841480066
@;9.01;9.08;maakte;8.65;9.08;0.0015433673799828459;0.7915224965422281;12.86519841480066
w;12.18;12.24;Wil;12.18;12.31;4.483571098705468;3.789347436196789;7.931919012917729
I;12.24;12.28;Wil;12.18;12.31;0.2729723680853396;5.317080511128324;7.931919012917729
l;12.28;12.31;Wil;12.18;12.31;0.01178403921944596;1.0743939095968358;7.931919012917729
j;12.31;12.44;je;12.31;12.44;4.483571098705468;4.1450229984593365;4.728969909201032
m;12.44;12.48;met;12.44;12.61;4.483571098705468;3.950811559733681;7.154985838417888
E;12.48;12.55;met;12.44;12.61;0.27982055932309974;4.243152203484571;7.154985838417888
t;12.55;12.61;met;12.44;12.61;0.020417473035961732;6.875541023251682;7.154985838417888
m;12.61;12.64;mij;12.61;12.7;4.483571098705468;3.950811559733681;8.577950501559702
Ei;12.64;12.7;mij;12.61;12.7;0.27982055932309974;5.753874195259906;8.577950501559702
e:;12.7;12.91;eten;12.7;13.13;4.483571098705468;5.298149721581541;11.08822444476926
t;12.91;12.96;eten;12.7;13.13;0.14053822446362368;5.406646910438119;11.08822444476926
@;12.96;13.13;eten;12.7;13.13;0.007025046486504808;0.28702591541963435;11.08822444476926
z;13.52;13.6;zei;13.52;13.73;4.483571098705468;4.235657497565434;9.56279791441851
Ei;13.6;13.73;zei;13.52;13.73;0.28725579252042865;4.427679985038351;9.56279791441851
d;13.73;13.76;de;13.73;13.79;4.483571098705468;3.3458377164999593;5.322176977655901
@;13.76;13.79;de;13.73;13.79;0.22678006925983496;7.532001194857413;5.322176977655901
s;13.79;13.86;zwarte;13.79;14.12;4.483571098705468;5.246233841626966;13.183011137228094
w;13.86;13.91;zwarte;13.79;14.12;0.1855968423441443;8.929675374503773;13.183011137228094
A;13.91;13.95;zwarte;13.79;14.12;0.0014845771836221391;3.326132272478303;13.183011137228094
r;13.95;14.01;zwarte;13.79;14.12;0.0009235961667239012;5.071484743317184;13.183011137228094
t;14.01;14.09;zwarte;13.79;14.12;0.000805824575986312;5.298874556998584;13.183011137228094
@;14.09;14.12;zwarte;13.79;14.12;0.0007989615837472102;5.285402218862248;13.183011137228094
G;14.12;14.19;gezel;14.12;14.56;4.483571098705468;14.718586758252007;21.880248178187145
@;14.19;14.22;gezel;14.12;14.56;0.0013190966516973576;6.202061117895505;21.880248178187145
z;14.22;14.33;gezel;14.12;14.56;0.0007989615837472102;5.285402218862248;21.880248178187145
E;14.33;14.4;gezel;14.12;14.56;0.0007989615837472102;5.285402218862248;21.880248178187145
l;14.4;14.56;gezel;14.12;14.56;0.0007989615837472102;5.285402218862248;21.880248178187145
a:;15.21;15.4;aardappelen;15.21;15.73;4.483571098705468;6.962709981974043;17.225670510849938
r;15.4;15.45;aardappelen;15.21;15.73;0.07052116705366361;4.286527554895345;17.225670510849938
d;15.45;15.48;aardappelen;15.21;15.73;0.005775166470217459;0.5416702697911042;17.225670510849938
A;15.48;15.56;aardappelen;15.21;15.73;0.004503866285973736;4.172700191209073;17.225670510849938
p;15.56;15.63;aardappelen;15.21;15.73;0.0010711225019042394;1.6329727284427766;17.225670510849938
@;15.63;15.66;aardappelen;15.21;15.73;0.0010711225019042394;1.6329727284427766;17.225670510849938
l;15.66;15.69;aardappelen;15.21;15.73;0.0010711225019042394;1.6329727284427766;17.225670510849938
@;15.69;15.73;aardappelen;15.21;15.73;0.0010370948334942481;2.84624245569736;17.225670510849938
m;15.73;15.79;met;15.73;15.89;4.483571098705468;3.950811559733681;7.154985838417888
E;15.79;15.83;met;15.73;15.89;0.27982055932309974;4.243152203484571;7.154985838417888
t;15.83;15.89;met;15.73;15.89;0.020417473035961732;6.875541023251682;7.154985838417888
s;15.89;15.96;zout;15.89;16.25;4.483571098705468;5.246233841626966;15.934272691823448
Au;15.96;16.2;zout;15.89;16.25;0.1855968423441443;9.478617068039314;15.934272691823448
t;16.2;16.25;zout;15.89;16.25;0.0012635151583169002;6.058472360584678;15.934272691823448
m;16.3;16.37;maar;16.3;16.4;4.483571098705468;3.950811559733681;6.85515831790978
A;16.37;16.4;maar;16.3;16.4;0.27982055932309974;4.462656707745979;6.85515831790978
z;16.4;16.49;zonder;16.4;16.71;4.483571098705468;4.235657497565434;10.87722826712387
O;16.49;16.61;zonder;16.4;16.71;0.28725579252042865;4.516091270710627;10.87722826712387
n;16.61;16.65;zonder;16.4;16.71;0.0171078708601496;1.1514200620237396;10.87722826712387
@;16.65;16.71;zonder;16.4;16.71;0.008599539789630285;4.315447906297808;10.87722826712387
f;16.71;16.77;vet;16.71;17.07;4.483571098705468;7.950002850545294;15.677632610870255
E;16.77;16.87;vet;16.71;17.07;0.04092170923077619;5.9698139204068825;15.677632610870255
p;16.87;16.95;vet;16.71;17.07;0.0016616358482362896;6.521520353204749;15.677632610870255
t;16.95;17.07;vet;16.71;17.07;0.0007989615837472102;5.285402218862248;15.677632610870255
x;17.7;17.76;ga;17.7;17.82;4.483571098705468;4.340400290399336;8.370687811599943
a:;17.76;17.82;ga;17.7;17.82;0.2555261598127255;2.5808478774447385;8.370687811599943
d;17.82;17.87;dan;17.82;17.93;4.483571098705468;3.3458377164999593;7.819444492319198
A;17.87;17.93;dan;17.82;17.93;0.22678006925983496;1.8400732596529645;7.819444492319198
m;17.93;17.98;maar;17.93;18.02;4.483571098705468;3.950811559733681;6.85515831790978
a:;17.98;18.02;maar;17.93;18.02;0.27982055932309974;1.5933633881992932;6.85515831790978
z;18.02;18.12;zitten;18.02;18.35;4.483571098705468;4.235657497565434;10.35041559136046
I;18.12;18.17;zitten;18.02;18.35;0.28725579252042865;3.851751070865089;10.35041559136046
t;18.17;18.28;zitten;18.02;18.35;0.02469193003905816;0.386970318623663;10.35041559136046
@;18.28;18.35;zitten;18.02;18.35;0.009036631098921985;0.1032377716044059;10.35041559136046
n;19.97;20.02;Neen;19.97;20.38;4.483571098705468;4.2996423611804;15.512859047558237
e:;20.02;20.33;Neen;19.97;20.38;0.2768493358712843;3.1184930725697586;15.512859047558237
n;20.33;20.38;Neen;19.97;20.38;0.01738373117091353;5.920314647985054;15.512859047558237
z;20.58;20.62;zei;20.58;20.75;4.483571098705468;4.235657497565434;9.56279791441851
Ei;20.62;20.75;zei;20.58;20.75;0.28725579252042865;4.427679985038351;9.56279791441851
h;20.75;20.85;hij;20.75;21.03;4.483571098705468;3.9195567556242343;6.773226710587824
Ei;20.85;21.03;hij;20.75;21.03;0.24282588730324134;8.481156837496973;6.773226710587824
f;21.42;21.48;van;21.42;21.55;4.483571098705468;7.950002850545294;6.543162067767069
A;21.48;21.51;van;21.42;21.55;0.04092170923077619;3.2144072559438706;6.543162067767069
n;21.51;21.55;van;21.42;21.55;0.005846334263030559;0.9940158126982785;6.543162067767069
d;21.55;21.61;daag;21.55;21.89;4.483571098705468;3.3458377164999593;16.05864344466886
a:;21.61;21.81;daag;21.55;21.89;0.22678006925983496;2.623249419187551;16.05864344466886
x;21.81;21.89;daag;21.55;21.89;0.03911659611524291;9.465478814966845;16.05864344466886
m;21.89;21.94;moet;21.89;22.07;4.483571098705468;3.950811559733681;7.949191511654083
u;21.94;22.01;moet;21.89;22.07;0.27982055932309974;4.775763869477104;7.949191511654083
t;22.01;22.07;moet;21.89;22.07;0.015968142678937165;6.4320526687202335;7.949191511654083
j;22.07;22.12;je;22.07;22.17;4.483571098705468;4.1450229984593365;4.728969909201032
@;22.12;22.17;je;22.07;22.17;0.10126557629061075;4.8707966175421555;4.728969909201032
m;22.17;22.22;mijn;22.17;22.41;4.483571098705468;3.950811559733681;7.781655489170147
Ei;22.22;22.41;mijn;22.17;22.41;0.27982055932309974;5.753874195259906;7.781655489170147
x;22.41;22.51;gast;22.41;22.65;4.483571098705468;4.340400290399336;14.074969058253558
A;22.51;22.59;gast;22.41;22.65;0.2555261598127255;5.683128314411913;14.074969058253558
s;22.59;22.65;gast;22.41;22.65;0.01001065502752531;2.550688012971627;14.074969058253558
s;22.65;22.75;zijn;22.65;23.01;4.483571098705468;5.246233841626966;6.928835288022308
Ei;22.75;22.92;zijn;22.65;23.01;0.1855968423441443;8.244089242502916;6.928835288022308
n;22.92;23.01;zijn;22.65;23.01;0.0018414181642628306;3.4778492434746817;6.928835288022308
E;23.42;23.49;en;23.42;23.54;4.483571098705468;4.8694102932972045;6.1170286533150895
n;23.49;23.54;en;23.42;23.54;0.08061988840838592;6.706842395189012;6.1170286533150895
Ei;23.54;23.63;hij;23.54;23.63;4.483571098705468;9.259177356576865;6.773226710587824
s;23.63;23.77;spreidde;23.63;24.1;4.483571098705468;5.246233841626966;20.94717117464962
p;23.77;23.84;spreidde;23.63;24.1;0.1855968423441443;2.7790389699961255;20.94717117464962
r;23.84;23.87;spreidde;23.63;24.1;0.03520646056143867;2.0823984133136575;20.94717117464962
Ei;23.87;24.04;spreidde;23.63;24.1;0.00963269916494421;7.737036637637962;20.94717117464962
d;24.04;24.07;spreidde;23.63;24.1;0.0008335328076038017;4.765120442176075;20.94717117464962
@;24.07;24.1;spreidde;23.63;24.1;0.0008084348035749418;4.953966246643278;20.94717117464962
z;24.1;24.16;zijn;24.1;24.22;4.483571098705468;4.235657497565434;6.928835288022308
@;24.16;24.19;zijn;24.1;24.22;0.28725579252042865;1.8637989448166465;6.928835288022308
n;24.19;24.22;zijn;24.1;24.22;0.0008250788958054296;5.336104825448103;6.928835288022308
k;24.22;24.31;kleedje;24.22;24.61;4.483571098705468;4.803206420928256;20.05408637856613
l;24.31;24.36;kleedje;24.22;24.61;0.18198847581797384;2.7849993658413728;20.05408637856613
e:;24.36;24.51;kleedje;24.22;24.61;0.03347198684530806;4.189652686161544;20.05408637856613
t;24.51;24.57;kleedje;24.22;24.61;0.002893753592747229;2.7917509141933454;20.05408637856613
j;24.57;24.61;kleedje;24.22;24.61;0.0010436773879659782;4.632305127981381;20.05408637856613
ui;24.61;24.84;uit;24.61;24.97;4.483571098705468;7.8146842538385375;8.44938411163659
t;24.84;24.97;uit;24.61;24.97;0.0361761478123347;0.055890908756552414;8.44938411163659
E;24.97;25.08;en;24.97;25.08;4.483571098705468;4.8694102932972045;6.1170286533150895
t;25.08;25.14;'t;25.08;25.14;4.483571098705468;5.057095733487645;8.38643076964309
w;25.14;25.17;was;25.14;25.31;4.483571098705468;3.789347436196789;7.516261346529114
A;25.17;25.24;was;25.14;25.31;0.2729723680853396;2.372972390466157;7.516261346529114
s;25.24;25.31;was;25.14;25.31;0.059418788111594074;0.3546235650798964;7.516261346529114
d;25.37;25.41;dadelijk;25.37;25.78;4.483571098705468;3.3458377164999593;16.091481529859344
a:;25.41;25.61;dadelijk;25.37;25.78;0.22678006925983496;2.623249419187551;16.091481529859344
d;25.61;25.64;dadelijk;25.37;25.78;0.03911659611524291;6.178458184670692;16.091481529859344
l;25.64;25.68;dadelijk;25.37;25.78;0.0016433479605908405;6.591278479644093;16.091481529859344
@;25.68;25.71;dadelijk;25.37;25.78;0.0007989615837472102;5.285402218862248;16.091481529859344
k;25.71;25.78;dadelijk;25.37;25.78;0.0007989615837472102;5.285402218862248;16.091481529859344
m;25.78;25.82;met;25.78;25.93;4.483571098705468;3.950811559733681;7.154985838417888
E;25.82;25.87;met;25.78;25.93;0.27982055932309974;4.243152203484571;7.154985838417888
t;25.87;25.93;met;25.78;25.93;0.020417473035961732;6.875541023251682;7.154985838417888
@;25.93;25.97;de;25.93;26.06;4.483571098705468;5.103190997215755;5.322176977655901
n;25.97;26.06;de;25.93;26.06;0.004261526174980849;8.284647380942959;5.322176977655901
h;26.06;26.15;heerlijkste;26.06;26.6;4.483571098705468;3.9195567556242343;21.33935716254095
e:;26.15;26.27;heerlijkste;26.06;26.6;0.24282588730324134;2.3530756708745613;21.33935716254095
r;26.27;26.3;heerlijkste;26.06;26.6;0.05416243967231653;4.5454095047176795;21.33935716254095
l;26.3;26.33;heerlijkste;26.06;26.6;0.0028012613036072125;0.8955248551753193;21.33935716254095
@;26.33;26.36;heerlijkste;26.06;26.6;0.0020849802792255747;0.48429529887391043;21.33935716254095
k;26.36;26.43;heerlijkste;26.06;26.6;0.0020849802792255747;0.48429529887391043;21.33935716254095
s;26.43;26.49;heerlijkste;26.06;26.6;0.0011277766853022568;5.219706405260465;21.33935716254095
t;26.49;26.54;heerlijkste;26.06;26.6;0.000805824575986312;4.8490226918076775;21.33935716254095
@;26.54;26.6;heerlijkste;26.06;26.6;0.000805824575986312;4.8490226918076775;21.33935716254095
x;26.6;26.69;gerechten;26.6;27.06;4.483571098705468;4.340400290399336;19.506487900457117
@;26.69;26.73;gerechten;26.6;27.06;0.2555261598127255;0.9824867473367125;19.506487900457117
r;26.73;26.77;gerechten;26.6;27.06;0.17533456821203122;5.020227682496937;19.506487900457117
E;26.77;26.83;gerechten;26.6;27.06;0.008432947401359142;2.0962070330636187;19.506487900457117
x;26.83;26.96;gerechten;26.6;27.06;0.002718322560908645;2.1366411961362903;19.506487900457117
t;26.96;27.03;gerechten;26.6;27.06;0.0013766611113519422;0.9660696047263215;19.506487900457117
@;27.03;27.06;gerechten;26.6;27.06;0.001297657915455467;1.391923616274748;19.506487900457117
b;27.06;27.12;bezet;27.06;27.49;4.483571098705468;4.642635153594779;15.775261321545132
@;27.12;27.15;bezet;27.06;27.49;0.19463427520225487;1.335374940514202;15.775261321545132
z;27.15;27.26;bezet;27.06;27.49;0.09286384590306544;4.584310189093731;15.775261321545132
E;27.26;27.31;bezet;27.06;27.49;0.006030525386514641;4.101639876727208;15.775261321545132
p;27.31;27.41;bezet;27.06;27.49;0.0011506636834620887;5.944169722443235;15.775261321545132
t;27.41;27.49;bezet;27.06;27.49;0.0007989615837472102;5.285402218862248;15.775261321545132
s;28.03;28.11;Zij;28.03;28.16;4.483571098705468;5.246233841626966;10.32757220622082
Ei;28.11;28.16;Zij;28.03;28.16;0.1855968423441443;8.244089242502916;10.32757220622082
a:;28.16;28.47;aten;28.16;28.61;4.483571098705468;6.962709981974043;17.28956068963236
t;28.47;28.58;aten;28.16;28.61;0.07052116705366361;8.357019894139356;17.28956068963236
@;28.58;28.61;aten;28.16;28.61;0.0011751747831200189;3.081363974975971;17.28956068963236
E;28.61;28.71;en;28.61;28.79;4.483571098705468;4.8694102932972045;6.1170286533150895
n;28.71;28.79;en;28.61;28.79;0.08061988840838592;6.706842395189012;6.1170286533150895
d;28.79;28.84;dronken;28.79;29.11;4.483571098705468;3.3458377164999593;13.62645472219087
r;28.84;28.88;dronken;28.79;29.11;0.22678006925983496;3.9382960363982478;13.62645472219087
O;28.88;28.93;dronken;28.79;29.11;0.021628652363808953;3.9155667265457024;13.62645472219087
N;28.93;29.05;dronken;28.79;29.11;0.002368367164355408;0.5418341289083727;13.62645472219087
k;29.05;29.08;dronken;28.79;29.11;0.002147793558383562;0.47325154781630396;13.62645472219087
@;29.08;29.11;dronken;28.79;29.11;0.001979959697261782;0.6049021939654756;13.62645472219087
s;29.11;29.25;samen;29.11;29.6;4.483571098705468;5.246233841626966;11.354992418031756
a:;29.25;29.46;samen;29.11;29.6;0.1855968423441443;5.876861264793012;11.354992418031756
m;29.46;29.5;samen;29.11;29.6;0.0057790017283085365;1.6149918758462993;11.354992418031756
@;29.5;29.6;samen;29.11;29.6;0.0025854517381917234;0.7195993979611099;11.354992418031756
E;30.02;30.1;en;30.02;30.16;4.483571098705468;4.8694102932972045;6.1170286533150895
n;30.1;30.16;en;30.02;30.16;0.08061988840838592;6.706842395189012;6.1170286533150895
h;30.16;30.19;hadden;30.16;30.34;4.483571098705468;3.9195567556242343;11.279812800753328
A;30.19;30.28;hadden;30.16;30.34;0.24282588730324134;3.3781239267185086;11.279812800753328
d;30.28;30.31;hadden;30.16;30.34;0.03183120876905373;2.8414276156147;11.279812800753328
@;30.31;30.34;hadden;30.16;30.34;0.005342006979266868;0.13664880944169744;11.279812800753328
s;30.34;30.49;schik;30.34;30.66;4.483571098705468;5.246233841626966;20.210085410974294
x;30.49;30.54;schik;30.34;30.66;0.1855968423441443;2.507121989651761;20.210085410974294
I;30.54;30.62;schik;30.34;30.66;0.04335501816578645;3.7637035753126526;20.210085410974294
g;30.62;30.66;schik;30.34;30.66;0.004527244674155541;8.254930340429375;20.210085410974294
n;32.14;32.2;Na;32.14;32.32;4.483571098705468;4.2996423611804;10.675908451506537
a:;32.2;32.32;Na;32.14;32.32;0.2768493358712843;2.6163162379947966;10.675908451506537
@;32.32;32.36;het;32.32;32.4;4.483571098705468;5.103190997215755;5.312395807632838
t;32.36;32.4;het;32.32;32.4;0.004261526174980849;4.88741942161911;5.312395807632838
e:;32.4;32.58;eten;32.4;32.66;4.483571098705468;5.298149721581541;11.08822444476926
t;32.58;32.66;eten;32.4;32.66;0.14053822446362368;5.406646910438119;11.08822444476926
s;32.66;32.76;zei;32.66;32.84;4.483571098705468;5.246233841626966;9.56279791441851
Ei;32.76;32.84;zei;32.66;32.84;0.1855968423441443;8.244089242502916;9.56279791441851
d;32.84;32.87;de;32.84;32.9;4.483571098705468;3.3458377164999593;5.322176977655901
@;32.87;32.9;de;32.84;32.9;0.22678006925983496;7.532001194857413;5.322176977655901
k;32.9;32.99;kolenbrander;32.9;33.63;4.483571098705468;4.803206420928256;NAN
o:;32.99;33.14;kolenbrander;32.9;33.63;0.18198847581797384;4.43676880130151;NAN
l;33.14;33.17;kolenbrander;32.9;33.63;0.01256189712788457;3.2606616371601884;NAN
@;33.17;33.2;kolenbrander;32.9;33.63;0.002101677553260595;3.3981555606799985;NAN
b;33.2;33.26;kolenbrander;32.9;33.63;0.0008741656260481371;5.3091964563721055;NAN
r;33.26;33.31;kolenbrander;32.9;33.63;0.0008006940602557404;5.288783038968186;NAN
