,onset,offset,words
661,206.86,207.56,rejetons
662,207.56,207.82,
663,207.82,207.92,et
664,207.92,208.35,produisit
665,208.35,208.69,chaque
666,208.69,208.96,année
667,208.96,209.03,de
668,209.03,209.35,nouvelles
669,209.35,209.94,fleurs
670,209.94,210.61,
671,210.61,210.94,C’était
672,210.94,211.04,le
673,211.04,211.44,jardin
674,211.44,211.5,de
675,211.5,211.56,l’
676,211.56,211.88,enfant
677,211.88,212.33,malade
678,212.33,212.61,
679,212.61,212.8,son
680,212.8,213.06,seul
681,213.06,213.55,trésor
682,213.55,213.77,sur
683,213.77,214.07,cette
684,214.07,214.54,terre
685,214.54,215.22,
686,215.22,215.39,il
687,215.39,215.43,l’
688,215.43,215.96,arrosait
689,215.96,216.36,
690,216.36,216.43,la
691,216.43,216.51,
692,216.51,217.1,cultivait
693,217.1,217.28,avec
694,217.28,217.66,soin
695,217.66,218.09,
696,218.09,218.17,et
697,218.17,218.34,la
698,218.34,218.69,plaçait
699,218.69,219.12,toujours
700,219.12,219.22,de
701,219.22,219.66,manière
702,219.66,219.71,à
703,219.71,219.83,ce
704,219.83,220.02,qu’elle
705,220.02,220.17,ne
706,220.17,220.5,perdît
707,220.5,220.71,pas
708,220.71,220.76,
709,220.76,220.92,un
710,220.92,221.05,des
711,221.05,221.34,rayons
712,221.34,221.43,de
713,221.43,221.89,soleil
714,221.89,222.07,qui
715,222.07,222.53,pénétraient
716,222.53,222.59,
717,222.59,222.65,à
718,222.65,223.06,travers
719,223.06,223.16,la
720,223.16,223.76,lucarne
721,223.76,224.68,
722,224.68,225.0,Aussi
723,225.0,225.12,la
724,225.12,225.45,fleur
725,225.45,225.62,se
726,225.62,226.21,développait
727,226.21,226.46,et
728,226.46,227.12,s’embellissait
729,227.12,227.29,avec
730,227.29,227.5,ses
731,227.5,227.87,rêves
732,227.87,228.56,
733,228.56,228.66,elle
734,228.66,229.26,fleurissait
735,229.26,229.45,pour
736,229.45,229.81,lui
737,229.81,230.13,
738,230.13,230.32,pour
739,230.32,230.56,lui
740,230.56,230.68,elle
741,230.68,231.09,répandait
742,231.09,231.3,son
743,231.3,231.83,parfum
744,231.83,231.9,
745,231.9,232.02,et
746,232.02,232.35,prenait
747,232.35,232.59,des
748,232.59,232.8,airs
749,232.8,233.26,coquets
750,233.26,234.32,
751,234.32,234.7,Lorsque
752,234.7,234.84,le
753,234.84,235.03,bon
754,235.03,235.27,Dieu
755,235.27,235.69,rappela
756,235.69,235.73,l’
757,235.73,236.11,enfant
758,236.11,236.18,à
759,236.18,236.65,lui
760,236.65,236.83,
761,236.83,236.92499,il
762,236.92499,237.61,s’inclina
763,237.61,237.81,vers
764,237.81,237.98,elle
765,237.98,238.23,avant
766,238.23,238.29,de
767,238.29,238.93,mourir
768,238.93,239.85,
769,239.85,239.96,Il
770,239.96,240.02,y
771,240.02,240.06,a
772,240.06,240.6,maintenant
773,240.6,240.68,une
774,240.68,240.97,année
775,240.97,241.06,que
776,241.06,241.1,l’
777,241.1,241.4,enfant
778,241.4,241.45,est
779,241.45,241.67,chez
780,241.67,242.01,Dieu
781,242.01,242.1,et
782,242.1,242.39,
783,242.39,242.6,il
784,242.6,242.7,y
785,242.7,242.76,a
786,242.76,242.92,une
787,242.92,243.22,année
788,243.22,243.31,que
