,onset,offset,words
399,114.72,115.23,j’hériterais
400,115.23,115.31,du
401,115.31,116.01,royaume
402,116.01,117.09,
403,117.09,117.18,D’
404,117.18,117.36,abord
405,117.36,117.45,le
406,117.45,117.67,roi
407,117.67,117.74,ne
408,117.74,117.97,voulut
409,117.97,118.15,point
410,118.15,118.21,le
411,118.21,118.51,laisser
412,118.51,118.95,partir
413,118.95,119.09,
414,119.09,119.49,puis
415,119.49,119.58,
416,119.58,119.71,il
417,119.71,120.16,céda
418,120.16,120.37,de
419,120.37,120.7,nouveau
420,120.7,121.13,
421,121.13,121.23,Le
422,121.23,121.6,prince
423,121.6,121.81,prit
424,121.81,121.94,le
425,121.94,122.15,même
426,122.15,122.58,chemin
427,122.58,122.63,que
428,122.63,122.81,son
429,122.81,123.27,frère
430,123.27,123.4,
431,123.4,123.47,et
432,123.47,123.95,rencontra
433,123.95,124.32,aussi
434,124.32,124.45,le
435,124.45,124.67,nain
436,124.67,124.79,qui
437,124.79,124.84,l’
438,124.84,125.22,arrêta
439,125.22,125.3,en
440,125.3,125.45,lui
441,125.45,126.04,disant
442,126.04,126.75,
443,126.75,126.85,Où
444,126.85,127.28,allez-vous
445,127.28,127.56,si
446,127.56,127.9,vite
447,127.9,128.87,
448,128.87,129.16,Petit
449,129.16,129.81,bonhomme
450,129.81,130.43,
451,130.43,130.96,répondit
452,130.96,131.02,le
453,131.02,131.42,prince
454,131.42,131.74,
455,131.74,131.95,tu
456,131.95,131.99,n’as
457,131.99,132.2,nul
458,132.2,132.64,besoin
459,132.64,132.71,de
460,132.71,132.83,le
461,132.83,133.45,savoir
462,133.45,134.01,
463,134.01,134.12,Mais
464,134.12,134.24,le
465,134.24,134.44,nain
466,134.44,134.61,lui
467,134.61,134.93,jeta
468,134.93,135.08,un
469,135.08,135.66,charme
470,135.66,136.05,
471,136.05,136.14,et
472,136.14,136.32,lui
473,136.32,136.7,aussi
474,136.7,136.75,il
475,136.75,137.05,entra
476,137.05,137.19,dans
477,137.19,137.36,une
478,137.36,137.88,ravine
479,137.88,137.99,où
480,137.99,138.2,il
481,138.2,138.24,ne
482,138.24,138.68499,pouvait
483,138.68499,138.92,ni
484,138.92,139.46,avancer
485,139.46,139.57,
486,139.57,139.8,ni
487,139.8,140.38,reculer
488,140.38,140.69,
489,140.69,140.87,Tel
490,140.87,140.94,est
491,140.94,141.03,le
492,141.03,141.4,sort
493,141.4,141.62,des
494,141.62,142.21,arrogants
495,142.21,142.51,
496,142.51,142.83,Comme
497,142.83,142.86,le
498,142.86,143.13,second
499,143.13,143.34,fils
500,143.34,143.45,
501,143.45,143.5,ne
502,143.5,143.95,revenait
503,143.95,144.09,pas
504,144.09,144.27,non
505,144.27,144.5,plus
506,144.5,144.69,le
507,144.69,144.84,plus
508,144.84,145.15,jeune
509,145.15,145.27,des
510,145.27,145.43,trois
511,145.43,145.48,
512,145.48,145.83,frères
513,145.83,145.97,se
514,145.97,146.44,décida
515,146.44,146.53,à
516,146.53,146.63,
517,146.63,146.76,s’en
518,146.76,146.91,aller
519,146.91,147.33,chercher
520,147.33,147.38,l’
521,147.38,147.47,eau
522,147.47,148.18,merveilleuse
523,148.18,148.32,et
524,148.32,148.38,le
525,148.38,148.7,roi
526,148.7,148.92,fut
527,148.92,149.06,
528,149.06,149.42,forcé
529,149.42,149.49,de
530,149.49,149.59,le
531,149.59,149.86,laisser
532,149.86,150.46,partir
533,150.46,151.08,
534,151.08,151.44,Lorsque
535,151.44,151.52,le
536,151.52,151.68,jeune
537,151.68,151.93,prince
538,151.93,152.48,rencontra
539,152.48,152.6,le
540,152.6,152.84,nain
541,152.84,153.08,sur
542,153.08,153.24,son
543,153.24,153.75,chemin
544,153.75,153.87,et
545,153.87,153.93,que
546,153.93,154.61,celui-ci
547,154.61,154.74,lui
548,154.74,154.93,fit
549,154.93,155.08,sa
550,155.08,155.49,question
551,155.49,156.19,accoutumée
552,156.19,156.5,
553,156.5,156.53,Où
554,156.53,156.92,allez-vous
555,156.92,157.17,si
556,157.17,157.51,vite
557,157.51,158.12,
558,158.12,158.31,Je
559,158.31,158.42,vais
560,158.42,158.82,chercher
561,158.82,158.85,l
562,158.85,158.98,Eau
563,158.98,159.05,de
564,159.05,159.21,la
565,159.21,159.55,vie
566,159.55,159.84,
567,159.84,160.31,répliqua
568,160.31,160.37,le
569,160.37,160.88,voyageur
570,160.88,161.09,car
571,161.09,161.31,mon
572,161.31,161.71,père
573,161.71,162.17,
574,162.17,162.24,est
575,162.24,162.82,mortellement
576,162.82,163.32,malade
577,163.32,164.27,
578,164.27,164.81,Savez-vous
579,164.81,165.13,donc
580,165.13,165.19,où
581,165.19,165.32,la
582,165.32,165.98,trouver
583,165.98,166.8,
584,166.8,167.42,Non
585,167.42,168.13,
586,168.13,168.34,dit
587,168.34,168.43,le
588,168.43,168.99,prince
589,168.99,169.73,
590,169.73,170.02,Eh
591,170.02,170.07,
592,170.07,170.7,bien
593,170.7,171.35,
594,171.35,171.66,puisque
595,171.66,171.83,vous
596,171.83,172.08,avez
597,172.08,172.55,répondu
598,172.55,173.29,convenablement
599,173.29,173.32,je
600,173.32,173.4,veux
601,173.4,173.46,vous
602,173.46,173.49,le
603,173.49,174.0,
604,174.0,174.09,dire
605,174.09,174.16,L’
606,174.16,174.24,eau
607,174.24,174.48,sort
608,174.48,174.51,d’
609,174.51,174.71,un
610,174.71,174.91,puits
611,174.91,175.05,dans
612,175.05,175.18,la
613,175.18,175.33,cour
614,175.33,175.42,
615,175.42,175.47,d’
616,175.47,175.61,un
617,175.61,175.88,palais
618,175.88,176.6,enchanté
619,176.6,176.86,
620,176.86,176.94,et
621,176.94,177.08,pour
622,177.08,177.2,que
623,177.2,177.34,vous
624,177.34,177.9,puissiez
625,177.9,178.0,y
626,178.0,178.54,entrer
627,178.54,178.97,
628,178.97,179.05,je
629,179.05,179.15,vous
630,179.15,179.38,donne
631,179.38,179.55,une
632,179.55,179.86,verge
633,179.86,180.05,de
