,onset,offset,words
589,201.62,201.77,que
590,201.77,202.02,nous
591,202.02,202.43,avions
592,202.43,202.65,pris
593,202.65,203.07,avec
594,203.07,203.34,nous
595,203.34,203.93,
596,203.93,204.06,et
597,204.06,204.29,en
598,204.29,204.49,un
599,204.49,205.18,instant
600,205.18,205.38,
601,205.38,205.58,se
602,205.58,205.96,trouva
603,205.96,206.84,suspendue
604,206.84,207.03,et
605,207.03,207.71,dansante
606,207.71,207.96,hors
607,207.96,208.1,
608,208.1,208.23,de
609,208.23,208.6,notre
610,208.6,209.19,portée
611,209.19,209.64,
612,209.64,209.97,loin
613,209.97,210.15,du
614,210.15,210.56,pivot
615,210.56,210.7,de
616,210.7,210.78,l
617,210.78,211.09,axe
618,211.09,211.2,de
619,211.2,211.4,la
620,211.4,211.67,vis
621,211.67,212.45,
622,212.45,212.86,Pendant
623,212.86,213.0,que
624,213.0,213.12,nous
625,213.12,213.48,nous
626,213.48,214.07,efforcions
627,214.07,214.16,de
628,214.16,214.31,la
629,214.31,215.08,rattraper
630,215.08,215.54,
631,215.54,215.68,et
632,215.68,215.87,que
633,215.87,216.13,toute
634,216.13,216.38499,notre
635,216.38499,217.02,attention
636,217.02,217.21,
637,217.21,217.26,y
638,217.26,217.64,était
639,217.64,218.51,absorbée
640,218.51,218.84,
641,218.84,219.01,nous
642,219.01,219.34,fûmes
643,219.34,220.06,enveloppés
644,220.06,220.3,dans
645,220.3,220.43,un
646,220.43,220.96,violent
647,220.96,221.47,courant
648,221.47,221.53,d
649,221.53,221.77,air
650,221.77,221.9,de
651,221.9,222.0,l
652,222.0,222.33,est
653,222.33,222.76,
654,222.76,222.9,qui
655,222.9,223.1,nous
656,223.1,223.63,porta
657,223.63,223.81,avec
658,223.81,223.92,une
659,223.92,224.34,force
660,224.34,224.4,
661,224.4,224.93,rapide
662,224.93,225.03,et
663,225.03,225.3,
664,225.3,225.94,croissante
665,225.94,226.03,du
666,226.03,226.48,côté
667,226.48,226.56,de
668,226.56,226.62,l
669,226.62,227.38,Atlantique
670,227.38,228.32,
671,228.32,228.43,Nous
672,228.43,228.63,nous
673,228.63,229.09,trouvâmes
674,229.09,229.62,chassés
675,229.62,229.85,en
676,229.85,230.09,mer
677,230.09,230.48,
678,230.48,230.69,par
679,230.69,230.83,une
680,230.83,231.41,vitesse
681,231.41,231.55,qui
682,231.55,231.82,n'était
683,231.82,232.63,certainement
684,232.63,232.9,
685,232.9,233.13499,pas
686,233.13499,233.42,moins
687,233.42,233.54,de
688,233.54,234.29,cinquante
689,234.29,234.41,ou
690,234.41,234.56,de
691,234.56,235.18,soixante
692,235.18,235.4,milles
693,235.4,235.56,à
694,235.56,235.62,l
695,235.62,235.86,heure
696,235.86,236.39,
697,236.39,236.62,si
698,236.62,236.97,bien
699,236.97,237.36,
700,237.36,237.45,que
701,237.45,237.5,
702,237.5,237.72,nous
703,237.72,238.45,atteignîmes
704,238.45,238.52,
705,238.52,238.62,le
706,238.62,238.87,cap
707,238.87,238.92,
708,238.92,239.34,Clear
709,239.34,239.73,
710,239.73,239.9,à
711,239.9,240.42,quarante
712,240.42,240.73,milles
713,240.73,241.09,
714,241.09,241.29,vers
715,241.29,241.64499,notre
716,241.64499,242.18,nord
717,242.18,242.54,
718,242.54,242.92,avant
719,242.92,242.95,d
720,242.95,243.36,avoir
721,243.36,243.53,pu
722,243.53,244.25,assurer
723,244.25,244.61,
724,244.61,244.77,la
725,244.77,245.12,verge
726,245.12,245.18,
727,245.18,245.24,d
728,245.24,245.9,acier
729,245.9,246.12,
730,246.12,246.23,et
731,246.23,246.29,d
732,246.29,246.72,avoir
733,246.72,246.81499,eu
734,246.81499,246.90998,le
735,246.90998,247.01,
736,247.01,247.26,temps
737,247.26,247.38,de
738,247.38,247.87,penser
739,247.87,247.98,à
740,247.98,248.33,virer
741,248.33,248.54,de
742,248.54,248.59,
743,248.59,249.02,bord
744,249.02,249.66,
745,249.66,249.85,Ce
746,249.85,250.15,fut
747,250.15,250.73,alors
748,250.73,250.9,que
749,250.9,251.36,
750,251.36,251.54,M
751,251.54,252.0,Ainsworth
752,252.0,252.45,
753,252.45,252.72,fit
754,252.72,252.8,une
755,252.8,253.65,proposition
756,253.65,254.7,extraordinaire
757,254.7,255.18,
758,255.18,255.43,mais
759,255.43,255.81,qui
760,255.81,255.92,
761,255.92,256.11,dans
762,256.11,256.33,mon
763,256.33,256.96,opinion
764,256.96,257.33,
765,257.33,257.62499,n'était
766,257.62499,258.18,nullement
767,258.18,259.13,déraisonnable
768,259.13,259.33,
769,259.33,259.57,ni
770,259.57,260.33,chimérique
771,260.33,260.88,
772,260.88,261.03,dans
773,261.03,261.44,laquelle
774,261.44,261.61,il
775,261.61,261.78,fut
776,261.78,262.88,immédiatement
777,262.88,263.51,encouragé
778,263.51,263.65,par
779,263.65,263.73,M
780,263.73,263.88,
781,263.88,264.68,Holland
782,264.68,264.94,
783,264.94,265.05,à
784,265.05,265.73,savoir
785,265.73,266.19,
786,266.19,266.29,que
787,266.29,266.34,
788,266.34,266.51,nous
789,266.51,266.95,pourrions
790,266.95,267.63,profiter
791,267.63,267.73,de
792,267.73,267.88,la
793,267.88,268.32,forte
794,268.32,268.84,brise
795,268.84,269.08,
796,269.08,269.25,qui
797,269.25,269.48,nous
798,269.48,270.31,emportait
