phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number;entropy_class
a;11.37;11.42;parc;11.26;11.65;0.3111310643031198;3.3044449540316907;14.82768591028601;5.654357;9.310801;36;-1.0
R;11.42;11.52;parc;11.26;11.65;0.0395702697469887;0.5137488120570814;14.82768591028601;5.654357;9.310801;36;-1.0
k;11.52;11.59;parc;11.26;11.65;0.0336545255177201;7.108436878732469;14.82768591028601;5.654357;9.310801;36;-1.0
@;11.59;11.65;parc;11.26;11.65;0.0011437414825344;5.795455272044121;14.82768591028601;5.654357;9.310801;36;-1.0
d;11.65;11.68;du;11.65;11.78;4.409139780035069;3.5165938505373138;7.681263722354963;5.6044397;5.0137706;37;-1.0
y;11.68;11.78;du;11.65;11.78;0.3164590011854679;7.978437984881886;7.681263722354963;5.6044397;5.0137706;37;-1.0
S;11.78;11.94;château;11.78;12.22;4.409139780035069;6.628288652147766;14.442606511635665;4.2350907;1.7453034;38;-1.0
a;11.94;12.03;château;11.78;12.22;0.0657095430179095;3.103105305359028;14.442606511635665;4.2350907;1.7453034;38;-1.0
t;12.03;12.13;château;11.78;12.22;0.0099939483469352;4.489621295663808;14.442606511635665;4.2350907;1.7453034;38;-1.0
o;12.13;12.22;château;11.78;12.22;0.0012908425700869;3.023142861369349;14.442606511635665;4.2350907;1.7453034;38;-1.0
p;12.22;12.32;pour;12.22;12.44;4.409139780035069;3.5300816532272266;6.98794199305955;4.2848406;5.1732135;39;-1.0
u;12.32;12.38;pour;12.22;12.44;0.3111310643031198;1.6591072050158528;6.98794199305955;4.2848406;5.1732135;39;-1.0
R;12.38;12.44;pour;12.22;12.44;0.0890557504954808;0.1460998266009852;6.98794199305955;4.2848406;5.1732135;39;-1.0
p;12.44;12.53;pleurer;12.44;12.84;4.409139780035069;3.5300816532272266;13.837954245739837;6.455899;8.897374;40;1.0
l;12.53;12.65;pleurer;12.44;12.84;0.3111310643031198;4.481441229949785;13.837954245739837;6.455899;8.897374;40;1.0
2;12.65;12.69;pleurer;12.44;12.84;0.0219803071554515;4.6097124174294;13.837954245739837;6.455899;8.897374;40;1.0
R;12.69;12.8;pleurer;12.44;12.84;0.0016209773693062;1.5099343166686268;13.837954245739837;6.455899;8.897374;40;1.0
e;12.8;12.84;pleurer;12.44;12.84;0.0013352832326578;5.655954332292595;13.837954245739837;6.455899;8.897374;40;1.0
i;12.84;13.08;ils;12.84;13.24;4.409139780035069;5.083806629288414;8.196409154968887;4.332737;7.5498466;41;-1.0
l;13.08;13.12;ils;12.84;13.24;0.0463767441475439;5.529353029942596;8.196409154968887;4.332737;7.5498466;41;-1.0
z;13.12;13.24;ils;12.84;13.24;0.0016070931557069;6.445594291341182;8.196409154968887;4.332737;7.5498466;41;-1.0
j;13.24;13.27;y;13.24;13.27;4.409139780035069;11.487059359955673;7.686763043039505;6.6769915;6.8325963;42;1.0
R;13.27;13.31;rencontrèrent;13.27;13.81;4.409139780035069;5.400144139330587;20.051629449975177;3.8560247;3.8223667;43;-1.0
a~;13.31;13.43;rencontrèrent;13.27;13.81;0.0953729016601603;2.803010467340581;20.051629449975177;3.8560247;3.8223667;43;-1.0
k;13.43;13.46;rencontrèrent;13.27;13.81;0.0129963757686165;2.2935850498391144;20.051629449975177;3.8560247;3.8223667;43;-1.0
o~;13.46;13.57;rencontrèrent;13.27;13.81;0.0034292132950125;0.3414424540403759;20.051629449975177;3.8560247;3.8223667;43;-1.0
t;13.57;13.6;rencontrèrent;13.27;13.81;0.0032382525033929;0.2726688027120884;20.051629449975177;3.8560247;3.8223667;43;-1.0
R;13.6;13.68;rencontrèrent;13.27;13.81;0.0032382525033929;0.2726688027120884;20.051629449975177;3.8560247;3.8223667;43;-1.0
E;13.68;13.71;rencontrèrent;13.27;13.81;0.0029790965345514;5.165413415710759;20.051629449975177;3.8560247;3.8223667;43;-1.0
R;13.71;13.81;rencontrèrent;13.27;13.81;0.0008498307623887;4.407256153624435;20.051629449975177;3.8560247;3.8223667;43;-1.0
e~;13.81;13.9;un;13.81;13.9;4.409139780035069;7.361143335080646;6.151914241151773;6.1704597;2.1825943;44;1.0
v;13.9;13.96;vieillard;13.9;14.35;4.409139780035069;4.287664674052159;16.85302169382878;7.755405;4.6883707;45;1.0
i;13.96;14.13;vieillard;13.9;14.35;0.4276229925312583;4.895406208944401;16.85302169382878;7.755405;4.6883707;45;1.0
E;14.13;14.16;vieillard;13.9;14.35;0.0288557624305797;3.922237633444505;16.85302169382878;7.755405;4.6883707;45;1.0
j;14.16;14.24;vieillard;13.9;14.35;0.0030803430968189;0.937678438468766;16.85302169382878;7.755405;4.6883707;45;1.0
a;14.24;14.29;vieillard;13.9;14.35;0.0014095126472386;2.976371711294356;16.85302169382878;7.755405;4.6883707;45;1.0
R;14.29;14.35;vieillard;13.9;14.35;0.0009785651473846;2.343376514151398;16.85302169382878;7.755405;4.6883707;45;1.0
k;14.35;14.46;qui;14.35;14.49;4.409139780035069;4.296214187739292;7.353269951835012;5.6424212;1.6015197;46;-1.0
i;14.46;14.49;qui;14.35;14.49;0.385222146039297;1.5390330520759636;7.353269951835012;5.6424212;1.6015197;46;-1.0
l;14.49;14.53;leur;14.49;14.67;4.409139780035069;3.755260160408023;11.63403107834938;5.96034;2.41767;47;-1.0
9;14.53;14.6;leur;14.49;14.67;0.2258054342494331;4.595465420187238;11.63403107834938;5.96034;2.41767;47;-1.0
R;14.6;14.67;leur;14.49;14.67;0.0139944454866439;0.0419912569163523;11.63403107834938;5.96034;2.41767;47;-1.0
d;14.67;14.72;demanda;14.67;15.06;4.409139780035069;3.5165938505373138;17.81933856757249;3.3938339;4.1533732;48;-1.0
@;14.72;14.77;demanda;14.67;15.06;0.3164590011854679;0.6054282932040682;17.81933856757249;3.3938339;4.1533732;48;-1.0
m;14.77;14.82;demanda;14.67;15.06;0.0445178491285776;2.5006245750792377;17.81933856757249;3.3938339;4.1533732;48;-1.0
